投開票所編號,設置地點,詳細地址,所轄村里鄰名稱
第312投開票所,鄉立幼兒園群英分班,冬山鄉群英村富英路158號,群英村1-8鄰、11-14鄰、26-29鄰
第313投開票所,舊群英社區托兒所(昭靈宮即九分帝君廟旁),冬山鄉群英村冬山路5段160號,群英村9-10鄰、15-25鄰、30-36鄰
第314投開票所,昭靈宮後方停車場,冬山鄉群英村冬山路5段162號,群英村43-44鄰、47-48鄰、61-71鄰
第315投開票所,群英社區活動中心,冬山鄉群英村冬山路5段51號,群英村37-40鄰、41-42鄰、45、46鄰、49-60鄰
第316投開票所,清溝國小教室,冬山鄉清溝村永清路369號,清溝村1-10鄰、31-33鄰
第317投開票所,清溝社區活動中心,冬山鄉清溝村光明路51號,清溝村11-20鄰
第318投開票所,清溝社區發展協會,冬山鄉清溝村清溝路50號,清溝村21-30鄰
第319投開票所,鹿埔社區活動中心,冬山鄉鹿埔村鹿埔路488號,鹿埔村1-9鄰
第320投開票所,冬山鄉立老人文康活動中心,冬山鄉鹿埔村鹿埔路490號,鹿埔村10-20鄰
第321投開票所,梅花社區活動中心二樓,冬山鄉得安村下湖路398號,得安村
第322投開票所,廣興社區活動中心,冬山鄉廣興村永興路2段916號,廣興村1-11鄰
第323投開票所,廣興村集會所,冬山鄉廣興村永興路2段921號,廣興村12-22鄰
第324投開票所,廣安社區活動中心,冬山鄉廣安村廣安路195號,廣安村6-12鄰
第325投開票所,廣安福德宮旁廣場,冬山鄉廣安村水井一路97號,廣安村1-5鄰、13鄰
第326投開票所,柯林社區活動中心,冬山鄉柯林村光華路209號,柯林村
第327投開票所,大進進安宮,冬山鄉大進村大進九路58號,大進村
第328投開票所,三興村集會所（開基灶君廟省民堂）,",五結鄉三興村三興東路89號",三興村1-10鄰、13-14鄰
第329投開票所,三興社區活動中心,五結鄉三興村三結五路188號,三興村11、12鄰、15-25鄰
第330投開票所,學進國小大禮堂,五結鄉二結村中正路3段151號,二結村1-9鄰
第331投開票所,二結社區活動中心,五結鄉二結村中正路3段151號,二結村10-17鄰
第332投開票所,鎮安社區臨時活動中心,五結鄉鎮安村舊街一路139巷6號前,鎮安村10-18鄰
第333投開票所,"象集團一樓辦公室（二結福德廟旁）",五結鄉鎮安村舊街一路158號,鎮安村1-9鄰
第334投開票所,興中國中(涵英樓),五結鄉上四村中正東路50號,上四村1-11鄰
第335投開票所,上四社區發展協會老人活動中心(萬應廟後),五結鄉上四村福德路97號,上四村12-19鄰
第336投開票所,宜蘭縣家畜肉類商業同業公會,五結鄉中興村中興路2段260號,中興村
第337投開票所,中興國小教室,五結鄉四結村中興路3段67號,四結村1-11鄰
第338投開票所,中興國小中正堂,五結鄉四結村中興路3段67號,四結村12-20鄰
第339投開票所,正勉堂（掃笏廟）一樓,五結鄉福興村興盛北路182巷16號,福興村1-8鄰
第340投開票所,福興社區活動中心(正勉堂旁),五結鄉福興村興盛北路182巷16號,福興村9-20鄰
第341投開票所,五結奠安宮,五結鄉五結村新生路20號,五結村1-9鄰
第342投開票所,五結國小五育館,五結鄉五結村五結中路2段88號,五結村10-19鄰
第343投開票所,五結國小教室,五結鄉五結村五結中路2段88號,五結村20-29鄰
第344投開票所,協和社區活動中心,五結鄉協和村五結路2段199號,協和村1-9鄰
第345投開票所,福安宮〈香客休息室〉,五結鄉協和村五結中路1段35號,協和村10-21鄰
第346投開票所,五結國中五動館,五結鄉大吉村大吉五路58號,大吉村1-9鄰
第347投開票所,大吉社區活動中心,五結鄉大吉村大吉五路181巷16號,大吉村10-16鄰、26鄰
第348投開票所,大吉社區三吉老人活動中心,五結鄉大吉村三吉中路129號,大吉村17-25鄰
第349投開票所,孝威社區活動中心,五結鄉孝威村孝威路326號,孝威村
第350投開票所,錦草活動中心(茅仔寮保安宮廟後),五結鄉錦眾村錦草路37-1號,錦眾村1~12鄰
第351投開票所,"錦眾民眾活動中心(大眾帝爺廟後)",五結鄉錦眾村大眾路80之2號,錦眾村13-24鄰
第352投開票所,利澤社區活動中心,五結鄉利澤村下福路156號,利澤村6-16鄰、19鄰
第353投開票所,下福集會所(下福福德廟後),五結鄉利澤村利成路2段217號,利澤村1-5鄰、17、18、20、21鄰
第354投開票所,五結鄉成興村老人福利中心,五結鄉成興村利成路1段185號,成興村1-6鄰、8-12鄰
第355投開票所,利澤國小,五結鄉成興村利寶路101號,成興村7鄰、13-24鄰
第356投開票所,季新社區活動中心,五結鄉季新村季水路北巷6之1號,季新村1-3鄰、9-15鄰
第357投開票所,祈安宮一樓,五結鄉季新村季水路51號,季新村4-8鄰、27-32鄰
第358投開票所,新店集會所,五結鄉季新村新店路99號,季新村16-26鄰
第359投開票所,員山民眾活動中心,三星鄉員山村泰雅一路203巷清水66號,員山村
第360投開票所,福山寺福濟堂,天福村福山街117號,天山村
第361投開票所,天送埤社區活動中心,三星鄉天山村福山街30之1號,天福村
第362投開票所,萬德社區活動中心,三星鄉萬德村楓林九路61號,萬德村
第363投開票所,貴林民眾活動中心,三星鄉貴林村照林路3段337號,貴林村
第364投開票所,萬富社區活動中心,三星鄉萬富村萬富五路300號,萬富村
第365投開票所,雙義社區活動中心,三星鄉雙賢村三星路6段2巷22號,雙賢村
第366投開票所,人和社區活動中心,三星鄉人和村和平路10之1號,人和村
第367投開票所,三星國小禮堂,三星鄉義德村三星路5段86號,義德村
第368投開票所,三星社區活動中心,三星鄉集慶村成功路67之8號,集慶村
第369投開票所,鎮安宮社教館,三星鄉月眉村三星路4段416號,月眉村
第370投開票所,拱照社區活動中心,三星鄉拱照村大湖路35之6號,拱照村
第371投開票所,行健社區活動中心,三星鄉行健村行健三路2段13號,行健村
第372投開票所,大隱社區活動中心,三星鄉大隱村三星路1段533巷48號,大隱村1-9鄰
第373投開票所,大隱國小活動中心,三星鄉大隱村大隱中路347號,大隱村10-19鄰
第374投開票所,昭靈宮文教館,三星鄉大隱村大隱八路377號,大隱村20-28鄰
第375投開票所,大義社區活動中心,三星鄉大義村上將路3段375巷31號,大義村
第376投開票所,尚武社區活動中心,三星鄉尚武村中興路一段125號,尚武村
第377投開票所,大洲多功能建築館,三星鄉大洲村五分路2段180號,大洲村1-6鄰
第378投開票所,大洲社區活動中心,三星鄉大洲村大洲原路17號,大洲村7-17鄰
第379投開票所,尾塹社區活動中心,三星鄉尾塹村上將路1段249巷30號,尾塹村
第380投開票所,寒溪社區活動中心,大同鄉寒溪村6鄰寒溪巷5號,寒溪村
第381投開票所,崙埤社區活動中心,大同鄉崙埤村朝陽10之8號,崙埤村
第382投開票所,松羅社區活動中心,大同鄉松羅村松羅南巷81之10號,松羅村
第383投開票所,復興社區活動中心,大同鄉復興村泰雅一路61巷5號,復興村
第384投開票所,四季國小英士分校,大同鄉英士村梵梵100號,英士村
第385投開票所,樂水社區活動中心,大同鄉樂水村碼崙路46號,樂水村
第386投開票所,大同國中,大同鄉泰雅路4段35號,太平村
第387投開票所,茂安社區活動中心,大同鄉茂安村泰雅路5段66號,茂安村
第388投開票所,四季社區活動中心,大同鄉四季村和勳巷2號,四季村
第389投開票所,南山社區活動中心,大同鄉南山村埤南巷9之1號,南山村
第390投開票所,東澳國民小學,南澳鄉東岳村蘇花路3段209號,東岳村
第391投開票所,南澳國民小學,南澳鄉南澳村中正路15號,南澳村
第392投開票所,碧候國民小學,南澳鄉碧候村碧候路自覺巷38號,碧候村
第393投開票所,金岳國民小學,南澳鄉金岳村金岳路2號,金岳村
第394投開票所,武塔社區活動中心,南澳鄉武塔村新溪路温泉巷7之1號,武塔村
第395投開票所,金洋國民小學,南澳鄉金洋村金洋路11號,金洋村
第396投開票所,澳花國民小學,南澳鄉澳花村中央路19號,澳花村
