"投開票所編號",場所名稱,投開票所地址,所屬里別,所屬鄰別
127,"中庄市場綜合大樓3樓
(市民活動中心）",中山路一段１０９號3樓,埤頭里,13-28
128,北極宮,文昌路８９號之２,頂罟里,全里
129,文化活動中心,中山路二段２５１號,舊城里,1-8
130,"八里國小明德樓
(1106)教室",中山路二段３３８號,舊城里,9-14
131,"八里國小明德樓
(1107)教室",中山路二段３３８號,舊城里,15-17
132,"八里國小明德樓
(1108)教室",中山路二段３３８號,舊城里,18-22
133,"八里國小朝陽樓
(4104)教室",中山路二段３３８號,訊塘里,1-9
134,"八里國小朝陽樓
(4105)教室",中山路二段３３８號,訊塘里,10-23
135,"下庄市場綜合大樓4樓
(市民活動中心）",舊城路１９號４樓,荖阡里,全里
136,"長坑活動中心（長坑
國小內）",中華路三段２３６號,長坑里,全里
137,下罟長青活動中心,中山三段１７３號,下罟里,全里
138,醒吾中學,粉寮路一段７５巷８０號,東林里,1-12
139,醒吾中學,粉寮路一段７５巷８０號,東林里,13-18
140,醒吾中學,粉寮路一段７５巷８０號,東林里,19-27
141,醒吾中學,粉寮路一段７５巷８０號,林口里,1-5
142,醒吾中學,粉寮路一段７５巷８０號,林口里,6-13
143,醒吾中學,粉寮路一段７５巷８０號,林口里,14-29
144,林口高中,仁愛路二段１７３號,西林里,1-9
145,林口高中,仁愛路二段１７３號,西林里,10-13
146,林口高中,仁愛路二段１７３號,西林里,14-23
147,林口高中,仁愛路二段１７３號,西林里,24-29
148,林口高中,仁愛路二段１７３號,西林里,30-35
149,林口國小,林口路７６號,菁湖里,1-9
150,林口國小,林口路７６號,菁湖里,10-16
151,林口國小,林口路７６號,菁湖里,17-23
152,佳林國中,中山路２６８號,中湖里,"1-6,8"
153,佳林國中,中山路２６８號,中湖里,"7,9-17"
154,湖北市民活動中心,後湖１７之６號,湖北里,全里
155,頭湖國小,民權路１０１號,湖南里,1-5
156,頭湖國小,民權路１０１號,湖南里,"6-9,30,31"
157,頭湖國小,民權路１０１號,湖南里,"19-22,29"
158,頭湖國小,民權路１０１號,湖南里,23-28
