"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"57","立農國小一年4教室","立農街1段250號","立賢里4,5,13-16","28212604",
"58","慈生宮餐廳","立農街1段321號","立農里1-5","28227410",
"59","立農里里民活動場所","吉利街123巷30號","立農里6,7,9,10","28262408",
"60","立農國小一年1班教室","立農街1段250號","立農里8,11-14","28212604",
"61","立農國小一年2班教室","立農街1段250號","立農里15-20","28212604",
"62","立農國小潛能開發班二教室","立農街1段250號","立農里21-25","立農里全里","28212604",
"63","文武廟","北投路1段53號左側","八仙里1-4,13-15","28933970",
"64","八仙里里民活動場所","中央南路2段33號之１","八仙里5,6,10-12","28985252",
"65","立農國小多功能教室B","立農街1段250號","八仙里7-9,16,17","八仙里全里","28212604",
"66","屈原宮","洲美街122號","洲美里1-10","洲美里全里","28360256",
"67","清江國小一年一班教室","公館路220號","奇岩里1-4,28","奇岩里全里","28912764",
"68","清江國小一年二班教室","公館路220號","奇岩里5-10","28912764",
"69","清江國小一年三班教室","公館路220號","奇岩里11-15,25","28912764",
"70","清江國小資源班〈二〉教室","公館路220號","奇岩里17-20,26","28912764",
"71","清江國小圖書室","公館路220號","奇岩里16,21-24,27","28912764",
"72","北投區行政中心1樓南側門","新市街30號1樓","清江里1-3","清江里全里","28912105",
"73","慈后宮","清江路169號","清江里4-9","","28915323",
"74","清江區民活動中心","清江路177巷12號","清江里15,19,22,23,25,26","","28912105轉216",
"75","北投行道會福音中心","清江路186號","清江里10-13,16-18","","28916609",
"76","基督教北投行道會","崇仁路1段17巷1號","清江里14,20,21,24,27","","28916609",
"77","北投國小知動教室","中央北路1段73號","中央里1-7,9","","28914315",
"78","北投國小二年四班教室","中央北路1段73號","中央里8,10-12","","28914315",
"79","北投國小二年五班教室","中央北路1段73號","中央里13-17","","28914315",
"80","北投國小二年六班教室","中央北路1段73號","中央里18-22","","28914315",
"81","北投國小二年七班教室","中央北路一段73號","中央里23-28","中央里全里","28914315",
"82","北投國小二","年八班教室","中央北路1段73號","長安里1-6","","28914315",
"83","北投國小二年九班教室","中央北路1段73號","長安里7-14","長安里全里","28914315",
"84","北投國中視聽教室","溫泉路62號","長安里15-23","","28912091轉208",
"85","北投國小二年一班教室","中央北路1段73號","大同里1-5,15","大同里全里","28914315",
"86","北投國小二年二班教室","中央北路1段73號","大同里6-12","","28914315",
"87","北投國小二年三班教室","中央北路1段73號","大同里13,14,16-18","","28914315",
"88","北投國中交通安全教室","溫泉路62號","溫泉里1-5","","28912091轉208",
"89","北投國中資源班AB教室","溫泉路62號","溫泉里6-11","","28912091轉208",
"90","北投國中資源班CD教室","溫泉路62號","溫泉里12-17","溫泉里全里","28912091轉208",
"91","北投國中資源班EF教室","溫泉路62號","溫泉里18-23","","28912091轉208",
"92","新民國中學生活動中心禮堂","新民路10號","林泉里1-7","林泉里全里","28979001轉500、520",
"93","新民國中學生活動中心會議室","新民路10號","林泉里8-17","","28979001轉500、520",
"94","逸仙國小四年一班教室","新民路2號","中心里2-6","","28914537轉12",
"95","逸仙國小英語教室〈三〉","新民路2號","中心里7-12,14","中心里全里","28914537轉12",
"96","逸仙國小社會教室","新民路2號","中心里13,15-21","","28914537轉12",
"97","文化國小一年五班教室","文化三路1號","中庸里1-5","中庸里全里","28933828轉131",
"98","文化國小一年六班教室","文化三路1號","中庸里6-10","","28933828轉131",
"99","文化國小一年七班教室","文化三路1號","中庸里11-15","","28933828轉131",
"100","71園區A101教室","開明街71號","開明里3-5,7,9-12","","28926952",
"101","71園區A102教室","開明街71號","開明里1,2,6,8,13,16-18","開明里全里","28926952",
"102","71園區A105教室","開明街71號","開明里14,15,19-26","","28926952",
"103","復興高中行政大樓一樓川堂","復興四路70號","中和里11-17","","28914131",
"104","中華聖樂學院","復興四路24號","中和里1,2,7,9,10,19","中和里全里","28916431",
"105","中和里里民活動場所","中和街422號","中和里3-6,8,18","","28942200",
"106","禇金治女士車庫","杏林三路40巷1弄15號","智仁里1-7","","28924355",
"107","智仁里里民活動場所","杏林二路74巷3號","智仁里8,9,11-15","智仁里全里","28959722",
"108","道生基督教長老教會北投中和教會","中和街493巷6之3號","智仁里10,16-21","","28910307",
"109","水磨福德宮","中和街458巷5號","秀山里1-7","","28954657",
"110","秀山里里民活動場所","中和街502巷2弄11號","秀山里8-15","秀山里全里","28941666",
"111","文化國小一年一班教室","文化三路1號","文化里1-5","","28933828轉131",
"112","文化國小一年三班教室","文化三路1號","文化里6-9","","28933828轉131",
"113","文化國小一年四班教室","文化三路1號","文化里10-14","文化里全里","28933828轉131",
"114","文化國小三年一班教室","文化三路1號","豐年里1-5","","28933828轉131",
"115","文化國小一年八班教室","文化三路1號","豐年里6-10","豐年里全里","28933828轉131",
"116","文化國小一年九班教室","文化三路1號","豐年里11-16","","28933828轉131",
"117","桃源國小力行樓1-6教室","中央北路3段40巷45號","稻香里1-5","","28941208轉108",
"118","桃源國小明德樓閱讀太空站","中央北路3段40巷45號","稻香里6-10","稻香里全里","28941208轉108",
"119","桃源國小明德樓多功能教室","中央北路3段40巷45號","稻香里11-16","","28941208轉108",
"120","桃源里里民活動場所","中央北路3段40巷7號","桃源里1-4","","28923977",
"121","桃源國小力行樓資源教室〈一〉","中央北路3段40巷45號","桃源里5,10-13","","28941208轉108",
"122","桃源國小力行樓1-3教室","中央北路3段40巷45號","桃源里6-9","桃源里全里","28941208轉108",
"123","桃源國小力行樓家長會辦公室","中央北路3段40巷45號","桃源里14-17","","28941208轉108",
"124","桃源國中總務處旁會議室","中央北路4段48號","一德里1-6","","28929633",
"125","關渡國小一年2班教室","中央北路4段581號","一德里7-12","一德里全里","28912847",
"126","關渡國小一年4班教室","中央北路4段581號","一德里13-17","","28912847",
"127","關渡國小一年5班教室","中央北路4段581號","一德里18-23","","28912847",
"128","關渡區民活動中心","大度路3段301巷1號","關渡里1,2,9,24","","28584128",
"129","關渡國中川堂","知行路212號","關渡里5,10-12,20,28","","28582527轉51",
"130","關渡國中9年1班教室","知行路212號","關渡里6,8,19,21,23,27","","28582527轉51",
"131","關渡國中9年2班教室","知行路212號","關渡里7,14,17,18,22,25","","28582527轉51",
"132","關度國中9年3班教室","知行路212號","關渡里4,13,15,26","關渡里全里","28582527轉51",
"133","市立浩然敬老院致和樓交誼廳","知行路75號","關渡里3,16","","28581081轉247",
"134","義方國小川堂","珠海路155號","泉源里1,3","泉源里全里","28917433",
"135","泉源里里民活動中心","東昇路45-5號","泉源里2,4-16","","28919539",
"136","湖山國小三年甲班教室","湖底路11號","湖山里1-3,14-18","湖山里全里","28610259",
"137","北投區清潔隊陽明分隊","紗帽路141巷23號","湖山里4-13","","28617757",
"138","大屯國小美勞陶藝教室","復興三路312號","大屯里1-10","大屯里全里","28914353轉13",
"139","湖田國小一年忠班教室","竹子湖路17之2號","湖田里1-10","湖田里全里","28616963",
"140","臺北市士林公民會館(區政文史室)","大東路75號","仁勇里1-9","0972295800",
"141","臺北市士林公民會館(農產展示室)","大東路75號","仁勇里10-17","仁勇里全里","0972295800",
"142","慈諴宮東廂前廣場","大南路84號","義信里4","、6-11","義信里全里","28802972",
"143","百齡高中703教室","承德路4段177號","義信里1-3、5、12-14","28831568轉301",
"144","泰北高中松鐸樓綜一乙班教室","福林路240號","福林里1-7","福林里全里","28825560轉514",
"145","福林區民活動中心(小教室)","中正路187巷26號","福林里8-12","0972295802",
"146","福林區民活動中心(大教室)","中正路187巷26號","福林里13-18","0972295802",
"147","士林國中七年一班教室","中正路345號","福德里1-7","88613411轉520",
"148","士林國中七年三班教室","中正路345號","福德里9-15","福德里全里","88613411轉520",
"149","士林國中七年四班教室","中正路345號","福德里16-18、20","88613411轉520",
"150","士林國中七年六班教室","中正路345號","福德里8、19","88613411轉520",
"151","福林國小社團教室","福志路75號","福志里1-6","福志里全里","28313430",
"152","福林國小社會教室（2）","福志路75號","福志里7-13","28313430",
"153","福林國小三年三班教室","福志路75號","福志里14-18","28313430",
"154","福林國小二年一班教室","福志路75號","福志里19-24","28313430",
"155","神農宮西廂","前街74號","舊佳里1-5","28324955",
"156","神農宮東廂","前街74號","舊佳里6-10","28324955",
"157","舊佳區民活動中心","中山北路5段773之1號","舊佳里11-15","0935948090",
"158","基督教士林浸信會","中山北路5段751巷9號","舊佳里16-22","舊佳里全里","28315719",
"159","士林天主堂","（從文林路455號進入）","福佳里1-3,5-6,9,12,14-15","28324270",
"160","財政部臺北國稅局士林稽徵所","美崙街43號","福佳里4,7-8,10-11,13,16-17","28315171",
"161","臺北市立天文科學教育館(從後門停車場進入)","基河路363號","福佳里19-20,26","福佳里全里","0972295806",
"162","文昌區民活動中心","文昌路166之1號","福佳里18,21-25","28315171",
"163","陽明高中烹飪教室","中正路510號","後港里1-5","28316675",
"164","陽明高中綜合活動專科教室","中正路510號","後港里6-10","28316675",
"165","陽明高中會議室","中正路510號","後港里11-15","28316675",
"166","陽明高中903教室","中正路510號","後港里16-20","28316675",
"167","陽明高中高一2教室","中正路510號","後港里21-25","後港里全里","28316675",
"168","百齡國小1年5班教室（請由前門進入","）","福港街205號","福中里1-6","28817683",
"169","百齡國小1年6班教室（請由前門進入）","福港街205號","福中里7-9、13-14","福中里全里","28817683",
"170","百齡國小1年8班教室（請由前門進入）","福港街205號","福中里10-12","28817683",
"171","百齡國小1年9班教室(從前門進入)","福港街205號","福中里15-19","28817683",
"172","百齡國小1年2班教室（請由後、側門進入）","福港街205號","前港里1、3-4、9","28817683",
"173","百齡國小1年3班教室（請由後、側門進入）","福港街205號","前港里2、5-6、8","前港里全里","28817683",
"174","百齡國小1年4班教室（請由後、側門進入）","福港街205號","前港里7、10-13","28817683",
"175","百齡國小二年六班教室（請由前港街側門進入","）","福港街205號","百齡里1-6","28817683",
"176","百齡國小二年七班教室（請由前港街側門進入","）","福港街205號","百齡里7-9、12-15、17","28817683",
"177","百齡國小二年八班教室（請由前港街側門進入）","福港街205號","百齡里19-23、25-26","百齡里全里","28817683",
"178","百齡國小一年一班教室（請由前港街側門進入）","福港街205號","百齡里10-11、16、18、24、27","28817683",
"179","劍潭國小綜合教室","通河街16號","承德里1-7","28862471",
"180","劍潭國小1年甲班教室","通河街16號","承德里8-14","28862471",
"181","劍潭國小1年乙班教室","通河街16號","承德里15-21","承德里全里","28862471",
"182","劍潭國小1年丙班教室","通河街16號","福華里1-4、6-8","28862471",
"183","劍潭國小2年甲班教室","通河街16號","福華里10-14","福華里全里","28862471",
"184","士林托兒所白兔教室","通河街179巷2號","福華里5,9,15-21","28853842",
"185","士林托兒所松鼠教室","通河街179巷2號","福華里22-28","28853842",
"186","劍潭國小2年乙班教室","通河街16號","明勝里1-5","28862471",
