編號,設置地點,詳細地址,所轄里鄰別,電話,原住民
0445,"楠梓國小一年三班教
室","楠梓路 262 號 
( 可由東寧路後門進
入)","東寧里 9、11-14
鄰、18-19 鄰",3511140,(2)
0446,楠陽國小 3102 教室,楠陽路 100 號,五常里 1-8 鄰,3520675,(2)
0447,楠陽國小 3104 教室,楠陽路 100 號,五常里 9、11-13 鄰,3520675,(2)
0448,楠陽國小 3106 教室,楠陽路 100 號,"五常里 10、14-19
鄰",3520675,"(2) 
原住民"
0449,楠梓代天府東廂房,楠梓西巷 45 號之 1,享平里 1-11、16 鄰,3521244,"(2) 
原住民"
0450,楠梓代天府西廂房,楠梓西巷 45 號之 1,享平里 12-15 鄰,3521244,(2)
0451,"中埔代天府廣場左側
管理室",建楠橫路 2 號,中陽里 1-9 鄰,3510862,"(1) 
原住民"
0452,中埔代天府西廂房,建楠橫路 2 號,中陽里 10-20 鄰,3510862,(2)
0453,吳陳甚女士倉房,建楠路 164 巷 6 號,"惠楠里 1-3、5-8、
10、12、13 鄰",3511948,"(1) 
4、9 鄰空鄰"
0454,亞太新紀元大樓中庭,"楠梓新路 261 巷 16 弄
內","惠楠里 11、14-17
鄰",3523879,"(1) 
原住民"
0455,"惠民里集會所 1 樓聯
誼廳","高楠公路 1868 巷 100
號","惠民里 1-7、9-11、
13-16 鄰",3660361,"(2) 
8、12 鄰空鄰"
0456,"惠民里集會所 1 樓 
聯誼廳","高楠公路 1868 巷 100
號",惠民里 17-30 鄰,3660361,"(2) 
原住民"
0457,"惠豐里活動中心 1 樓
(左側)",青田街 87 號,惠豐里 3-9 鄰,3660883,"(1) 
1、2 鄰空鄰"
0458,"惠豐里活動中心 1 樓
(右側)",青田街 87 號,"惠豐里 10-13、17
鄰",3660883,(1) 原住民
0459,惠豐里活動中心 2 樓,青田街 87 號,"惠豐里 14-16、18
鄰",3660883,(2)
0460,後勁聖若瑟天主堂,後勁南路 203 巷 12 號,錦屏里 1-15 鄰,3616866,"(1) 
原住民"
0461,"基督教台灣信義會 
後勁教會",後昌路 219 號,錦屏里 16-28 鄰,3641183,(2)
0462,聖雲宮會議室,聖雲街 129 號,玉屏里 1、4-10 鄰,3621550,"(2)原住民 
2、3 鄰空鄰"
0463,鳳屏宮閱覽室,後勁東路 22 號,玉屏里 11-16 鄰,3610779,(2)
0464,"後勁活動中心 B 棟 1
樓",學專路 775 號,"金田里 1、2、4-11
鄰",3640236,"(2) 
3 鄰空鄰"
0465,"後勁活動中心 A 棟 1
樓",學專路 775 號,金田里 12-22 鄰,3640236,"(2) 
原住民"
0466,"明修堂凌霄寶殿 1 樓
東側",後勁東路 132 巷 15 號,稔田里全里,3614784,"(1) 
原住民"
0467,後勁國小主題教室 B,加昌路 216 號,瑞屏里 1-15 鄰,3626342,(1)
0468,後勁國小主題教室 C,加昌路 216 號,瑞屏里 16-25 鄰,3626342,"(1) 
原住民"
0469,"翠屏國中小國中部七
年 1 班教室",翠屏路 135 號,"翠屏里 1-11、16、
18、19 鄰",3683017,（2）
0470,"翠屏國中小國中部七
年 2 班教室",翠屏路 135 號,"翠屏里 12-15、40
鄰",3683017,（2）
0471,"翠屏國中小國中部七
年 5 班教室",翠屏路 135 號,"翠屏里 17、20、23
24 鄰",3683017,"（2） 
21 鄰空鄰"
0472,"翠屏國中小國中部 
七年 8 班教室",翠屏路 135 號,"翠屏里 27、28、32
42 鄰",3683017,"（2） 
原住民"
0473,"翠屏國中小國小部一
年 1 班教室",翠屏路 135 號,"翠屏里 22、25、26
29、30 鄰",3683017,（2）
0474,"翠屏國中小國小部一
年 3 班教室",翠屏路 135 號,"翠屏里 31、33、38
39 鄰",3683017,（2）
0475,"翠屏國中小國小部二
年 1 班教室",翠屏路 135 號,翠屏里 34-37 鄰,3683017,（2）
0476,"翠屏國中小國小部二
年 3 班教室",翠屏路 135 號,"翠屏里 41、43、44
鄰",3683017,（2）
0477,房舍管理課旁前玄關,宏毅一路自強巷 18 號,宏南里全里,"5824141 
-6482","(2) 原住民 
9、11、13、
15 鄰空鄰"
0478,光照念佛會廂房,宏毅二路北 6 巷 58 號,宏毅里 1-16 鄰,3619648,(1)
0479,宏毅社區關懷據點,"宏毅三路 5 巷 1 之 1
號",宏毅里 17-32 鄰,"5824141 
-6487",(1) 原住民
0480,宏榮里活動中心,宏毅二路南 12 巷 2 號,"宏榮里 2-17、19、
20 鄰","5824141 
-6632","(2)  
1、18 鄰空鄰"
0481,油廠國小大禮堂,左楠路 4 號,"宏榮里 22、24、25
26 鄰",3632300,"(2) 原住民 
21、23 鄰空鄰"
0482,"右昌元帥廟戲台置物
室",右昌一巷巷口,廣昌里 2-13 鄰,3616482,"(2) 原住民 
1 鄰空鄰"
0483,"右昌三甲福德祠西廂
房",廣昌街 143 號,廣昌里 14-30 鄰,3681182,(2)
0484,"廣昌等四里活動中心
(會議室)",廣昌街 175 巷 37 號,久昌里 1-12 鄰,3660721,"(2) 
原住民"
0485,"廣昌等四里活動中心
(辦公室)",廣昌街 175 巷 37 號,久昌里 13-21 鄰,3660721,(2)
0486,右昌元帥廟左廂房,右昌一巷 1 號,大昌里 2-9 鄰,3616232,"(2) 原住民 
1 鄰空鄰"
0487,"右昌元帥廟後花園光
安南樂社",右昌一巷 1 號,大昌里 10-17 鄰,3616232,(1)
0488,"右昌國中 1 年 15 班教
室",盛昌街 161 號,福昌里 1-9 鄰,3640451,"(2) 
原住民"
0489,"右昌國中 1 年 14 班教
室",盛昌街 161 號,福昌里 10-18 鄰,3640451,(2)
0490,"右昌國中 E 化教室 
(仁愛 1)",盛昌街 161 號,盛昌里 1-13 鄰,3640451,(2)
0491,"右昌國中 E 化教室 
(仁愛 2)",盛昌街 161 號,"盛昌里 14-20、22
鄰",3640451,"(2) 原住民 
21 鄰空鄰"
0492,"右昌國中 1 年 10 班教
室",盛昌街 161 號,盛昌里 23-27 鄰,3640451,(2)
0493,"右昌國中 1 年 13 班教
室",盛昌街 161 號,泰昌里全里,3640451,"(2) 原住民 
2、3 鄰空鄰"
0494,"右昌國中 1 年 12 班教
室",盛昌街 161 號,"興昌里 1-3、5-11、
15-16 鄰",3640451,"(2)  
4 鄰空鄰"
0495,"國昌國中前棟右側體
育專科教室",德民路 1010 號,"興昌里 12-14、17-19
鄰",3644278,"(2) 
原住民"
0496,"右昌國小 3 年 1 班教
室",加昌路 910 號,"建昌里 1-5、7-14、
16 鄰",3612368,"(1) 
6、15 鄰空鄰"
0497,"右昌國小 2 年 1 班教
室",加昌路 910 號,"建昌里 17-26、27
鄰",3612368,"(1) 
原住民"
0498,"宏昌等 6 里聯合活動
中心會議室",後昌路 960 巷 19 號,宏昌里 1-9 鄰,3655305,"(1)  
原住民"
0499,"宏昌等 6 里聯合活動
中心辦公室",後昌路 960 巷 19 號,宏昌里 10-15 鄰,3655305,(1)
0500,"莒光國小莊敬樓 
二年一班教室",後昌路 842 號,"和昌里 1-8、10-14
鄰",3612653,"(2) 原住民 
9 鄰空鄰"
0501,"莒光國小莊敬樓 
一年一班教室",後昌路 842 號,和昌里 15-26 鄰,3612653,(2)
0502,凡爾賽宮托兒所,新昌街 180 號,慶昌里 1-14 鄰,3636752,(1)
0503,凡爾賽宮康樂室,新昌街 180 號,"慶昌里 15-26、28
鄰",3636752,"(1)原住民 
27 鄰空鄰"
0504,"右昌國小二年 3 班教
室",加昌路 910 號,"隆昌里 1-13、17、
18 鄰",3612368,"(1) 
14-16 鄰空鄰"
0505,"右昌國小二年 5 班教
室",加昌路 910 號,"隆昌里 19-21、23-29
鄰",3612368,"(1) 原住民 
22 鄰空鄰"
0506,"莒光國小勤學樓 
三年一班教室",後昌路 842 號,"秀昌里 1-8、10-13
鄰",3612653,"(2) 原住民 
由後門出入"
0507,"莒光國小勤學樓 
四年一班教室",後昌路 842 號,秀昌里 9、14-18 鄰,3612653,"(2) 
由後門出入"
0508,"右昌國中 1 年 11 班教
室",盛昌街 161 號,裕昌里 1-11 鄰,3640451,"(2) 
原住民"
0509,"國昌國中前棟左側 
交通安全室",德民路 1010 號,裕昌里 12-17 鄰,3644278,"(2) 
由前門進出"
0510,"國昌國中後門第二間
2 年 1 班教室",德民路 1010 號,國昌里 1-11 鄰,3644278,"(1) 
由後門進出"
0511,"國昌國中後門第四間
2 年 3 班教室",德民路 1010 號,國昌里 12-21 鄰,3644278,"(1) 原住民 
由後門進出"
0512,"加昌國小二年 8 班教
室",樂群路 220 號,加昌里 1-13 鄰,3627169,"(2) 
原住民"
0513,"加昌國小二年 5 班教
室",樂群路 220 號,加昌里 14-24 鄰,3627169,(2)
0514,"加昌國小五年 8 班教
室",樂群路 220 號,加昌里 25-40 鄰,3627169,(2)
0515,"加昌國小五年 5 班教
室",樂群路 220 號,"加昌里 41-43、45
鄰",3627169,"(2) 
44 鄰空鄰"
0516,仁昌里活動中心前段,壽豐路 461 號,仁昌里 1-14 鄰,3682279,(1)
0517,仁昌里活動中心後段,壽豐路 461 號,"仁昌里 15-19、24
鄰",3682279,"(1) 
原住民"
0518,楠加州大樓大廳,惠民路 241 號,"仁昌里 20-23、25
鄰",3608558,(1)
0519,仁壽宮 1 樓集會所,大學 26 街 716 號,藍田里 2-7 鄰,3633848,(1) 1 鄰空鄰
0520,中山高中圖書館,昌路 416 號,藍田里 8-11 鄰,"3641116 
-130","(2) 
原住民"
0521,"援中國小前棟 1 樓
（石藝展室）",學 26 街 1150 號,中興里全里,3612193,"(1) 原住民 
9 鄰空鄰"
0522,"援中港代天府西側倉
房",中路 81 巷 45 號,中和里全里,3625144,"(1) 原住民 
6 鄰空鄰"
第 4 選舉區,"",左營區,"","","",""
0523,左營國小啟智班教,實踐路 42 號,進學里全里,5820042,"（1）原住民 
4、7、11、13
14、16、19、
20、25 鄰空鄰",""
0524,"台灣基督長老教會左
營教會",左營大路 435 巷 2 號,尾西里全里,5821894,"（2）原住民 
2、8、10 鄰空
鄰",""
0525,保善宮,左營大路 401 巷 31 號,頂北里全里,5820369,"（2）原住民 
4-7、10-14 鄰
空鄰",""
0526,元帝廟樓下後堂,左營下路 87 號,中北里全里,5832468,"（1）原住民 
1、2、4、5、8
9 鄰空鄰",""
0527,舊城國小體育器材室,蓮潭路 47 號,中南里全里,5810017,"（1）原住民 
4、5、7 鄰空
鄰",""
0528,元帝廟樓下前堂,左營下路 87 號,廟東里全里,5832468,"（1）原住民 
1、4、7、10
鄰空鄰",""
0529,天府宮儲藏室,蓮潭路 158 號,廟北里全里,5834883,"（1）原住民 
2、3、4、8、
13、15 鄰空鄰",""
0530,仙樹三山宮,左營下路 240 號,尾南里全里,5831044,"（2）原住民 
7 鄰空鄰",""
0531,仙樹三山宮,左營下路 240 號,"尾北里 1-5、11、
13、15-17、20- 22
24、25、32、35 鄰",5831044,"（1）原住民 
7、12、14、23
鄰空鄰",""
0532,洲仔清水宮,洲仔巷 25 號,"尾北里 6、8-10、
18、19、26-31、33
34 鄰",5835031,（1）,""
0533,屏山國小社區圖書館,海功東路 2 號,屏山里全里,5873410,"（1）原住民 
1、2 鄰空鄰",""
0534,祥和山莊文康室,"左營大路 928 之 102
號",祥和里全里,"5836576 
5880874","（1）原住民 
4、5、6、8、9
鄰空鄰",""
0535,"新祥和山莊綜合大樓
1 樓",海功路 52 號 1 樓,永清里全里,5881295,"（1） 
原住民"
0536,"莒光國小莒光樓 1108
教室",後昌路 842 號,莒光里全里,3612653,"（1） 
原住民"
0537,"莒光國小莒光樓 1107
教室",後昌路 842 號,光輝里 2-14 鄰,3612653,"（1）原住民 
1 鄰空鄰"
0538,"莒光國小莒光樓 1103
教室",後昌路 842 號,光輝里 15-27 鄰,3612653,（1）
0539,"合群新城孝區大樓活
動中心",海景街 411 號,合群里 30～34 鄰,5857417,（1）
0540,"合群新城義區大樓活
動中心",海景街 308 號,"合群里 2、6、7、9
15、22、23、27、 
35～38 鄰",5852922,"（1）原住民
1、3-5、8、10-1
4、16-21、
24-26、28-29
鄰空鄰"
0541,"明德國小校史室（由
學校側門德天街進
入）",海富路 2 號,明建里全里,5811853轉 310,"（1）原住民 
1、11、14、
16-18 鄰空鄰"
0542,明德國小視聽教室,海富路 2 號,頂西里全里,5811853-31,"（1）原住民 
4、9 鄰空鄰"
0543,慈德宮,店仔頂街 9 號,聖后里全里,5819045,"（2）原住民 
2 鄰空鄰"
0544,"舊城國小藝術與人文
教室",蓮潭路 47 號,聖西里全里,5810017,"（1）原住民 
2、4、5、8、9
鄰空鄰"
0545,舊城國小成教班教室,蓮潭路 47 號,聖南里全里,5810017,"（1）原住民 
1、7、8 鄰空
鄰"
0546,舊城城隍廟,店仔頂路 1 號,城南里全里,"5832356 
0937337599","（2）原住民 
1、5、7、9 鄰
空鄰"
0547,揚善堂,"廍後街 42 巷 14 弄 2
號",路東里全里,5818879,"（1）原住民 
1、2、7、9 鄰
空鄰"
0548,薛氏文教基金會會館,廍後街 42 巷 47 號,廍北里全里,5881599,"（2）原住民 
2、6、8、9 鄰
空鄰"
0549,廍後北極殿,海平路 2 號,廍南里全里,5827102,"（2）原住民 
2、3、6、10
11 鄰空鄰"
0550,"埤東、埤西、埤北里
聯合活動中心","左營大路 6 巷 81 號 1
樓",埤西里全里,"5815429 
0922662479","（1）原住民 
1、2、4、10
12 鄰空鄰"
0551,馮成玉紀念館,"舊城巷 1 之 32 號 
舊城巷停車場",埤北里全里,"5881752 
0917190791","（1）原住民 
3-8、10、23
28 鄰空鄰"
0552,左營區老人活動中心,蓮潭路 30 號,埤東里全里,5824510,"（1）原住民 
1、9、15、20
鄰空鄰"
0553,翠峰社區活動中心,翠峰路 46 號,海勝里 1-6 鄰,5874610,（1）
0554,"翠華社區一期活動中
心",翠華路 599 號 1 樓,海勝里 7-13 鄰,5835873,（1）
0555,"翠華國宅二期甲區管
理委員會辦公室","翠華路 601 巷 111 號 1
樓",海勝里 14-16 鄰,5814952,"（1） 
原住民"
0556,"翠華社區二期乙區管
理委員會","翠華路 601 巷 72 號 1
樓",海勝里 17-20 鄰,5819018,（2）
0557,"崇實自助聯合里活動
中心",先鋒路 293 號,"崇實里 2、3、6、8
12、16、18~20、26
28、29、31、33、
34 鄰",5833146,"（1）1、4-5
7、9-11、
13-15、17、
21-25、27 鄰
空鄰"
0558,"崇實自助聯合里活動
中心",先鋒路 293 號,"崇實里 30、32、35
鄰",5833146,"（1） 
原住民"
0559,永清國小家長會教室,左營大路 2 之 2 號,自助里全里,5822830 轉 131,"（1）原住民 
1、3、6、8、
10、11、鄰空
鄰"
0560,"果貿社區發展協會
（多功能教室）",果峰街 12 巷 3 號,果貿里 23~28 鄰,5816136,（1）
0561,果貿里活動中心,果峰街 8 號,果貿里 1~22 鄰,5816136,"（1） 
原住民"
0562,"果貿國宅社區管理委
員會電腦班教室",果峰街 10 巷 4 號,果惠里全里,5819194,"（1） 
原住民"
0563,"果惠果峰里聯合活動
中心（果貿市場 3 樓",中華一路 9 號 3 樓,果峰里全里,"5858222 
0932728229","（1） 
原住民"
0564,富民長青中心教室 1,富民路 435 號,新下里 1-9 鄰,5561665,"（1） 
原住民"
0565,富民長青中心教室 2,富民路 435 號,"新下里 21、25、36
鄰",5561665,（1）
0566,"市立三民家商 4106 教
室",裕誠路 1102 號,"新下里 20、30、31
38 鄰",5525887,（1）
0567,"勝利國小一年一班教
室",南屏路 1 號,"新下里 11、28、33
37 鄰",5522541,（1）
0568,"勝利國小一年四班教
室",南屏路 1 號,"新下里 14、22、23
29、39 鄰",5522541,（1）
0569,"勝利國小二年四班教
室",南屏路 1 號,"新下里 12、15、27
34、35、40 鄰",5522541,（1）
0570,"勝利國小家長會辦公
室",南屏路 1 號,"新下里 10、13、16
17、18、19、24、
26、32 鄰",5522541,（1）
0571,新吉莊北極殿,新上街 86 號,新上里 1-7 鄰,5563148,"（2）廟堂右
側"
0572,河堤幼兒園,新下街 10 巷 1 號,新上里 8-13 鄰,5590339,"（1）地點設
於中庭，以椅
子隔出空間"
0573,新庄仔天公廟,新下街 115 號,"新上里 23-26、27
鄰",5592092,"（1）原住民 
設於車庫右
側，有 2 面
牆。"
0574,"市立三民家商 3105 教
室",裕誠路 1102 號,"新上里 30-32、47
53 鄰",5525887,（1）
0575,"市立三民家商 3106 教
室",裕誠路 1102 號,"新上里 28、46、48
52、55 鄰",5525887,（1）
0576,"龍華國中 3 年 17 班教
室",自由二路 2 號,"新上里 14、16、29
41 鄰",5570720,（1）
0577,"龍華國中 3 年 19 班教
室",自由二路 2 號,"新上里 15、36、39
49 鄰",5570720,（1）
0578,"龍華國中 3 年 21 班教
室",自由二路 2 號,"新上里 17、22、45
50 鄰",5570720,（1）
0579,"龍華國中 3 年 23 班教
室",自由二路 2 號,"新上里 18、20、37
40、57 鄰",5570720,（1）
0580,"龍華國中 3 年 25 班教
室",自由二路 2 號,"新上里 33、35、38
43 鄰",5570720,（1）
0581,"龍華國中 2 年 14 班教
室",自由二路 2 號,"新上里 19、42、44
56 鄰",5570720,（1）
0582,"龍華國中 2 年 12 班教
室",自由二路 2 號,"新上里 21、34、51
54 鄰",5570720,（1）
0583,"新莊國小 1 年 1 班教
室",自由三路 1 號,新中里 8、15-21 鄰,3411373,（1）
0584,新莊青雲宮,新中街 130 號,"新中里 1-7、22-23
鄰",5562996,"（1）原住民 
2 樓廟堂右側"
0585,"新莊國小 5 年 1 班教
室",自由三路 1 號,新中里 9-14、24 鄰,3411373,（1）
0586,"新光國小 1 年 1 班教
室",華夏路 800 號,新光里 1-6、32 鄰,3438577,（1）
0587,"新光國小 1 年 3 班教
室",華夏路 800 號,"新光里 7-12、14、
31 鄰",3438577,"（1） 
原住民"
0588,"新光國小 1 年 4 班教
室",華夏路 800 號,"新光里 13、15、16
28、30 鄰",3438577,（1）
0589,"新光國小 1 年 5 班教
室",華夏路 800 號,"新光里 18、21-23
34 鄰",3438577,（1）
0590,"新光國小 1 年 6 班教
室",華夏路 800 號,"新光里 17、19、20
26、33 鄰",3438577,（1）
0591,"新光國小 2 年 5 班教
室",華夏路 800 號,"新光里 24、25、27
29、35、36、37 鄰",3438577,（1）
0592,"新民國小四年 1 班教
室",自由三路 478 號,"菜公里 1、7、8、48
57 鄰",3411888,（1）
0593,"新民國小四年 4 班教
室",自由三路 478 號,"菜公里 4、6、10、
11、61 鄰",3411888,（1）
0594,"新民國小二年 4 班教
室",自由三路 478 號,"菜公里 12、13、52
60 鄰",3411888,（1）
0595,"新民國小二年 7 班教
室",自由三路 478 號,"菜公里 15-18、39
鄰",3411888,（1）
0596,"新民國小六年 10 班教
室",自由三路 478 號,"菜公里 9、14、49
50、58、59 鄰",3411888,（1）
0597,"新民國小一年 1 班教
室",自由三路 478 號,"菜公里 19、32、41
63 鄰",3411888,（1）
0598,"新民國小一年 6 班教
室",自由三路 478 號,"菜公里 42、43、46
53 鄰",3411888,（1）
0599,"新民國小一年 4 班教
室",自由三路 478 號,"菜公里 44、45、47
51、54、56 鄰",3411888,（1）
0600,"左營國中一年一班教
室",曾子路 281 號,"菜公里 2、5、27、
55 鄰",3433080,（1）
0601,"左營國中一年二班教
室",曾子路 281 號,"菜公里 20-22、38
鄰",3433080,"（1） 
原住民"
0602,"左營國中一年三班教
室",曾子路 281 號,"菜公里 23、25、36
37 鄰",3433080,（1）
0603,"左營國中一年四班教
室",曾子路 281 號,"菜公里 3、24、40
鄰",3433080,（1）
0604,"文府國小二年一班
（614）教室",文府路 399 號,"菜公里 26、28、29
35 鄰",3482070,（1）
0605,"文府國小二年二班
（616）教室",文府路 399 號,"菜公里 30、31、33
34、62 鄰",3482070,（1）
0606,新莊高中自修教室二,文慈路 99 號,"福山里 3、7、25、
62 鄰",3420103,"（1） 
原住民"
0607,新莊高中自修教室三,文慈路 99 號,"福山里 1、45、46
49、71 鄰",3420103,（1）
0608,"新莊高中三年 14 班教
室",文慈路 99 號,"福山里 2、 
12- 14、66 鄰",3420103,（1）
0609,"福山國小 1 年 2 班教
室",重愛路 99 號,"福山里 15、26、27
44、47 鄰",3487633,（1）
0610,"福山國小 1 年 4 班教
室",重愛路 99 號,"福山里 4、6、8、
35 鄰",3487633,（1）
0611,"福山國小 1 年 11 班教
室",重愛路 99 號,"福山里 34、36、57
58、74 鄰",3487633,（1）
0612,"福山國小 1 年 13 班教
室",重愛路 99 號,"福山里 28、33、56
64 鄰",3487633,（1）
0613,"福山國中 3 年 3 班教
室",重信路 215 號,"福山里 29-32、61
68 鄰",3501581,（1）
0614,"福山國中 3 年 13 班教
室",重信路 215 號,"福山里 59、60、65
73 鄰",3501581,（1）
0615,"文府國小二年四班
（711）教室",文府路 399 號,福山里 9-11、54 鄰,3482070,（1）
0616,"文府國小一年一班
（714）教室",文府路 399 號,"福山里 5、37、48
55、69 鄰",3482070,（1）
0617,山水社區活動中心,榮總路 488 號,"福山里 16-18、51
52 鄰",3421429,（1）
0618,福山里活動中心二樓,榮總路 201 號,"福山里 23、40、43
70 鄰",3103403,（1）
0619,"福山里活動中心一樓
前段",榮總路 201 號,"福山里 19、38、39
41、50、75 鄰",3103403,（1）
0620,"福山里活動中心一樓
後段",榮總路 201 號,"福山里 20、24、42
63、67 鄰",3103403,（1）
0621,慈福宮,"榮總路 442 巷 37 之 1
號","福山里 21、22、53
72 鄰",3459881,"（1）開放空
間"
第 5 選舉區,"",大社區,"","","","","",""
0622,嘉誠社區活動中心,嘉新巷 6 號,嘉誠里全里,"","","","(1) 
原住民",""
0623,保社社區活動中心,光華路 8 號,"保社里 1-8,10,11,13","","","",(2),""
0624,玉皇宮,萬金巷 62 號,"保社里 9,12,14-19","","","","(1) 
原住民",""
0625,大社國小(北 107),三民路 336 號,"大社里 1-6,24","",3511940,"",(2),""
0626,大社國小(北 104),三民路 336 號,大社里 7-12,"",3511940,"",(2),""
0627,大社區中山堂,自強街 3 號,"大社里 13-17,25","","35133005 轉
503","","(2)  
原住民",""
0628,大社里集會所,大社路 108 號,"大社里 18-23,26,27","","","",(1),""
0629,獅子會大社分會,大吉路 696 號,保安里 2-6,"","","","(2) 
原住民",""
0630,保安里活動中心,大社路 87-3 號,"保安里 1,7-15","","","",(1),""
0631,白宮大樓,民生路 14 號,"三奶里 1,13-16","",(1)
0632,公園寶座大樓,民生路 155 號,"三奶里 3-5,7,17","",(2)
0633,三奶公園集會所,大新路 2-23 號,"三奶里 2,6,8-12","","(1) 
原住民"
0634,觀音社區活動中心,新生街 33 號,"觀音里 1-9,18","",(1)
0635,明毅堂,"三民路 162 巷 12
號","觀音里 11,12,17,25,26","","(1) 
原住民"
0636,觀音國小右側生教室,文明路 100 號,"觀音里 14,19,20,22,24",3525583,(2)
0637,"觀音國小左側家長連
絡室",文明路 100 號,"觀音里
10,13,15,16,21,23",3525583,(2)
0638,神農集會所,金龍路 42-8 號,"神農里 12-16,22,23","","(1) 
原住民"
0639,青雲宮(西側廟室),中華路 127 號,"神農里 3-10,21,25",3514719,(2)
0640,"大社國中(204 生物教
室)",翠屏路 100 號,"神農里
1,2,11,17-20,24,26",3530100,(2)
0641,王爺廟(北側廟室),"三民路 62 巷 1
號",中里里 1-7,"",(1)
0642,王爺廟(南側廟室),"三民路 62 巷 1
號",中里里 8-12,"",(1)
0643,中里社區活動中心,"文明路 10 巷 3
號",中里里 13-16,"","(1) 
原住民"
0644,翠屏社區活動中心,中興 4 巷 1 號,"翠屏里 1-3,5-8,10-13","","(1)原住民 
4、9 鄰空鄰"
0645,大吉路倉庫,大吉路 45-1 號,翠屏里 14-18,"",(1)
第 5 選舉區,"",仁武區,"","","",""
0646,大灣社區活動中心,"大灣里仁雄路
132 號",大灣里 1-6、8、10 鄰,093274591,"(1) 
原住民"
0647,大灣國中（三年四班,"大灣里仁雄路
99 號",大灣里 7、9、11-15 鄰,3711715,(2)
0648,登發國小(二年五班),仁忠路 191 號,灣內里 12-16、20 鄰,3726033,(2)
0649,灣內社區活動中心,"灣內里灣內一巷
23 號",灣內里 1-5、7-11 鄰,0915735389,(2)
0650,天后宮,"灣內里仁光路
45 號",灣內里 17-19 鄰,3722998,(1)
0651,特殊教育學校,澄觀路 1389 號,灣內里 21-22 鄰,3749788,"(1) 
原住民"
0652,"明山慈安居老人養護
中心","考潭里成功路 5
號",考潭里 1-3、16-23 鄰,3722268,"(2) 
原住民"
0653,天后宮（活動中心）,"考潭里成功路
40 號",考潭里 4-15 鄰,3716232,(1)
0654,"烏林社區活動中心
（右側）","烏林里林森巷
23 號",烏林里 1-10 鄰,0928731726,(1)
0655,"烏林社區活動中心
（左側）","烏林里林森巷
23 號","烏林里 11-15、18、24
鄰",0928731726,(1)
0656,養修堂,"烏林里仁林路
262 號","烏林里 17、19-23、25
鄰",3715966,"(1) 
原住民"
0657,仁福社區活動中心,"仁福里橫山二巷
13 之 8 號",仁福里全里,3716568,"(1) 
原住民"
0658,仁武國小西側教室,"仁武里中正路
94 號",仁武里 1-12 鄰,3711126,(2)
0659,仁武國小北棟教室,"仁武里中正路
94 號",仁武里 13-26 鄰,3711126,"(2) 
原住民"
0660,綜合活動中心,"仁武里中正路
94 號",仁武里 27-36 鄰,3748380,(2)
0661,福清宮（右側）,"文武里文化巷
76 號",文武里 1-10、57-58 鄰,3721565,(3)
0662,福清宮（左側）,"文武里文化巷
76 號","文武里 11-13、17-18
27、29-31 鄰",3721565,(3)
0663,元帥府（右側）,"文武里新元街
100 號","文武里 19-26、44、46
鄰",3743399,(3)
0664,元帥府（左側）,"文武里新元街
100 號","文武里 14-15、34-36
41-43、45 鄰",3743399,(3)
0665,"文武里活動中心〈右
側〉","文武里文館路 2
號","文武里 16、32-33、
37-40 鄰","",(2)
0666,"文武里活動中心〈左
側〉","文武里文館路 2
號",文武里 28、47-56 鄰,"","(2) 
原住民"
0667,竹後社區活動中心,"竹後里大福街
249 號",竹後里 1-11 鄰,0933302861,"(2) 
原住民"
0668,竹門教會,"竹後里竹門巷
86 號",竹後里 12-21 鄰,3711435,(1)
0669,八卦社區活動中心,"八卦里信義巷 1
號",八卦里 1-10、73 鄰,0916310290,(2)
0670,"北屋社區活動中心
（右側）","八卦里八德南路
100 巷 12 弄 16
號",八卦里 48-55、74 鄰,0935960827,(1)
0671,"北屋社區活動中心
（左側）","八卦里八德南路
100 巷 12 弄 16
號","八卦里 56-59、70-72
鄰",0935960827,"(1) 
原住民"
0672,新資優生幼兒園,"八卦里德新街 5
號",八卦里 23-33 鄰,3737000,(1)
0673,"八卦國小活動中心
（右側）","八卦里永仁街
555 號",八卦里 15-22 鄰,3718964,(2)
0674,"八卦國小活動中心
（左側）","八卦里永仁街
555 號",八卦里 41-47 鄰,3718964,(2)
0675,八卦國小(二年二班),"八卦里永仁街
555 號","八卦里 11-14、34-40
鄰",3718964,(2)
0676,優群托兒所,"八卦里八德南路
100 巷 149 號",八卦里 60-69 鄰,3745663,(1)
0677,"高楠社區活動中心
（右側）","高楠里高楠四街
58 號",高楠里 2、12-17 鄰,3411536,(1)
0678,"高楠社區活動中心
（左側）","高楠里高楠四街
58 號",高楠里 3-11 鄰,3411536,"(1) 
原住民"
0679,后太宮,"後安里後庄巷
98 號",後安里 1-6 鄰,3716025,"(3) 
原住民"
0680,後安里活動中心,"後安里安樂三街
76 巷 1 號",後安里 7-14 鄰,0937331388,(1)
0681,中華里活動中心,"中華里華園街
25 號",中華里全里,"","(1) 
原住民"
0682,善德宮（右側）,"五和里和平巷
25 號",五和里 1-10 鄰,3721275,"(2) 
原住民"
0683,善德宮（左側）,"五和里和平巷
25 號",五和里 11-22 鄰,3721275,(2)
0684,登發國小(二年一班),"仁和里仁忠路
191 號",仁和里 1-5 鄰,3726033,"(2) 
原住民"
0685,登發國小(一年四班),"仁和里仁忠路
191 號",仁和里 6-10 鄰,3726033,(2)
