編號,場所名稱,投(開)票所地址,所屬里別,所屬鄰別
0058,汴頭里中山堂,白河區汴頭里內枋林２０號,汴頭里,全里
0059,內角里中山堂,白河區內角里３０號,內角里,全里
0060,草店里中山堂,白河區草店里２９－１號,草店里,全里
0061,甘宅里活動中心,白河區甘宅里４３－１５號,甘宅里,全里
0062,東山區活動中心,東山區東山里東山２２５－４號,東山里,1-29
0063,東山水利工作站,東山區東中里中興南路２９號,東中里,"1-7,17-22"
0064,東山國民中學,東山區東中里青葉路１段１３２號,東中里,"8-16,23-26"
0065,東山國民小學,東山區東中里青葉路２段４９號,東正里,1-10
0066,東正廣安宮,東山區東正里１１鄰７６號,東正里,11-25
0067,大庄北極殿,東山區大客里１鄰大庄５號,大客里,全里
0068,三榮里社區活動中心,東山區三榮里木柵４５號,三榮里,全里
0069,陳清枝倉庫,東山區科里里１鄰下庄子１號之７,科里里,"1-12,23-24"
0070,枋子林社區活動中心,東山區科里里１７鄰枋子林６２號,科里里,"13-22,25"
0071,東河社區活動中心,東山區東河里２鄰１６號之１,東河里,全里
0072,聖賢北勢寮泉福宮,東山區聖賢里９鄰北勢寮７６號之３,聖賢里,"1-9,21-22"
0073,田尾社區活動中心,東山區聖賢里１２鄰田尾２７號之２,聖賢里,10-14
0074,頂田社區活動中心,東山區聖賢里１９鄰頂窩５０號之４,聖賢里,15-20
0075,南溪里中山堂,東山區南溪里２鄰１４號之１１,南溪里,全里
0076,水雲里中山堂,東山區水雲里牛肉崎２９號,水雲里,全里
0077,林安里活動中心,東山區林安里５鄰３２號之１,林安里,全里
0078,東原老人活動中心,東山區東原里２３鄰８號,東原里,1-15
0079,東原國民小學,東山區東原里２３鄰８號,東原里,16-30
0080,嶺南活動中心,東山區嶺南里牛稠子３０號之３,嶺南里,全里
0081,南勢活動中心,東山區南勢里７鄰大洋６６號之４,南勢里,全里
0082,青山活動中心,東山區青山里１６鄰１號之１８,青山里,全里
0083,高原社區活動中心,東山區高原里２鄰１４號之２,高原里,1-10
0084,高原里福聖宮(會議室),東山區高原里９３號之２,高原里,11-13
0085,土庫上帝廟(左室),鹽水區水秀里２鄰土庫２４號,水秀里,1-6
0086,鹽水國小,鹽水區水秀里７鄰朝琴路１３７號,水秀里,7-16
0087,福安宮,鹽水區福得里８鄰後厝１４號,福得里,全里
0088,公有零售市場,鹽水區三生里４鄰三福路１４號,三生里,全里
0089,鹽水文物陳列館,鹽水區武廟里７鄰武廟路８７號,武廟里,全里
0090,鹽水國中,鹽水區中境里１０鄰三福路６３號,中境里,全里
0091,水以里活動中心,鹽水區水以里中山路３巷１５－１號,水以里,全里
0092,護庇宮,鹽水區水正里１６鄰中正路１４０號,水正里,全里
0093,月津國小,鹽水區橋南里１５鄰月津路１６號,橋南里,"1-6,8-10"
0094,月津國小,鹽水區橋南里１５鄰月津路１６號,橋南里,"11-18,24"
0095,鹽水區圖書館,鹽水區橋南里１５鄰月津路１４－１號,橋南里,"7,19-23"
0096,舊營里活動中心,鹽水區舊營里６鄰３６號,舊營里,全里
0097,汫水里活動中心,鹽水區汫水里７鄰汫水港１號,汫水里,全里
0098,鹽水國小,鹽水區水秀里７鄰朝琴路１３７號,岸內里,"1,11-15,24"
0099,岸內國小,鹽水區岸內里１４鄰新岸內９６號,岸內里,"2-10,25-26"
0100,鹽水國小,鹽水區水秀里７鄰朝琴路１３７號,岸內里,16-23
0101,普照宮(左室),鹽水區義稠里４鄰５８號,義稠里,全里
0102,下中里活動中心,鹽水區下中里７鄰３２號,下中里,全里
0103,歡雅里活動中心(中寮),鹽水區歡雅里６鄰９０號,歡雅里,1-9
0104,永安宮(右室),鹽水區歡雅里６鄰９１號,歡雅里,10-24
0105,大莊里活動中心,鹽水區大莊里６鄰４４號,大莊里,全里
0106,桐寮里中山堂,鹽水區桐寮里６鄰４４號,桐寮里,全里
0107,後宅里活動中心,鹽水區後宅里１鄰後寮１０－４號,後宅里,全里
0108,孫厝里活動中心,鹽水區孫厝里孫厝寮７６－１號,孫厝里,全里
0109,竹埔國小,鹽水區竹埔里５鄰９２－１號,竹埔里,全里
0110,保生宮(中山堂),鹽水區下林里２鄰５７號,下林里,全里
0111,田寮里活動中心,鹽水區田寮里４鄰４５號,田寮里,全里
0112,南天宮(聖恩廳),鹽水區大豐里８鄰８８號,大豐里,全里
0113,慶華宮,鹽水區飯店里２鄰４８號,飯店里,全里
0114,河南里活動中心,鹽水區南港里５鄰坔頭港１７０－１號,河南里,全里
0115,坔頭港國小,鹽水區南港里９鄰坔頭港２０２號,南港里,全里
0116,新進國小,新營區忠政里１１鄰中正路４１號,忠政里,"1-2,5,8-15,333-4,7,18"
0117,新進國小,新營區忠政里１１鄰中正路４１號,忠政里,",24,27,29-326,16-17,"
0118,新進國小,新營區忠政里１１鄰中正路４１號,忠政里,"19-23,25-26,28"
0119,新營國小,新營區大宏里１３鄰中正路４號,民權里,1-12
0120,新營國小,新營區大宏里１３鄰中正路４號,民權里,13-24
0121,新營高中,新營區三以里２１鄰民權路１０１號,三以里,1-17
0122,新營高中,新營區三以里２１鄰民權路１０１號,三以里,18-32
0123,濟安宮（右室）,新營區好平里１３鄰忠義街２８號,好平里,全里
0124,濟安宮（左室）,新營區好平里１３鄰忠義街２８號,延平里,全里
0125,新營浸亯會,新營區永生里３鄰富源街１４號,永生里,全里
0126,新營國小,新營區大宏里１３鄰中正路４號,大宏里,1-10
