投(開)票所名稱,投(開)票所地點,所轄村里或鄰名稱
第0431投開票所,培英國小(二),塗厝里11-17鄰
第0432投開票所,地潭里活動中心,地潭里
第0433投開票所,湖內里活動中心,湖內里
第0434投開票所,嘉寶里活動中心,嘉寶里1-12鄰
第0435投開票所,天福宮,嘉寶里13-19鄰
第0436投開票所,月眉里活動中心(一),月眉里1-6鄰
第0437投開票所,月眉里活動中心(二),月眉里7-15鄰
第0438投開票所,月眉社區托兒所,月眉里16-22鄰
第0439投開票所,好修社區托兒所,好修里1-5鄰
第0440投開票所,調興宮（西興路134號）,好修里6-15鄰
第0441投開票所,大同社區活動中心,大同村1-6鄰
第0442投開票所,大同國小,大同村7-11鄰
第0443投開票所,海尾社區活動中心,海尾村1-7鄰
第0444投開票所,寶天宮（海尾路3號）,海尾村8-13鄰
第0445投開票所,全興社區活動中心（東全路11號）,全興村1-8鄰
第0446投開票所,興和宮（全興路93-1號）,全興村9-16鄰
第0447投開票所,溪底社區活動中心（溪底路103-2號）,溪底村1-7鄰
第0448投開票所,泰平宮（溪底路98號）,溪底村8-15鄰
第0449投開票所,定興社區活動中心（定興路63-2號）,定興村1-12鄰
第0450投開票所,興安宮（定興路63-1號）,定興村13-19鄰
第0451投開票所,什股社區活動中心,什股村1-9鄰
第0452投開票所,玉興宮（什股路160巷50-1號）,什股村10-15鄰
第0453投開票所,泉州社區活動中心（仁愛路123號）,泉州村1-7鄰
第0454投開票所,泉安宮（仁愛路123號）,泉州村8-16鄰
第0455投開票所,泉厝社區活動中心（泉厝路44-3號）,泉厝村
第0456投開票所,伸仁國小,曾家村1-9鄰
第0457投開票所,曾家社區活動中心（曾家路65-1號）,曾家村10-16鄰
第0458投開票所,蚵寮村集會所（蚵寮路132-5號）,蚵寮村
第0459投開票所,新港國小(一),新港村1-8鄰
第0460投開票所,新港國小(二),新港村9-13鄰
第0461投開票所,新港國小(三),新港村14-18鄰
第0462投開票所,新港國小(四),新港村19-22鄰
第0463投開票所,順安宮（埤墘路107-1號）,埤墘村
第0464投開票所,伸東國小(一),七嘉村1-4鄰
第0465投開票所,伸東國小(二),七嘉村5-9鄰
第0466投開票所,伸東國小(三),七嘉村10-14鄰
第0467投開票所,慶安宮（汴頭路187號）,汴頭村1-8鄰
第0468投開票所,汴頭社區活動中心（汴頭路187-3號）,汴頭村9-16鄰
第0469投開票所,線西鄉立幼兒園,線西村1-10、20、22鄰
第0470投開票所,溫安宮（中央路2段678巷32號）,線西村11-19、21、23鄰
第0471投開票所,頂庄社區活動中心,頂庄村
第0472投開票所,線西國中,寓埔村1-11鄰
第0473投開票所,寓埔社區活動中心,寓埔村12-22鄰
第0474投開票所,塭仔社區活動中心,塭仔村
第0475投開票所,興安宮（溝內路49號附近）,溝內村
第0476投開票所,慶興宮（下犁路82之1號）,下犁村1-10鄰
第0477投開票所,下犁社區活動中心,下犁村11-17鄰
第0478投開票所,曉陽國小（一）,頂犁村1-14鄰
第0479投開票所,曉陽國小（二）,頂犁村15-23鄰
第0480投開票所,德興社區活動中心,德興村
第0481投開票所,代天宮（員水路一段449巷46號）,崙雅里1-10、21鄰
第0482投開票所,崙雅社區活動中心（員水路1段449巷47號）,崙雅里11-20鄰
第0483投開票所,振興里社區活動中心（山腳路2段602號）,振興里1-11鄰
第0484投開票所,大慶商工（山腳路2段206號）,振興里12-20鄰
第0485投開票所,青山國小（泉州巷3號）,林厝里1-5、18鄰
第0486投開票所,林厝里社區活動中心（山腳路1段48巷57號）,林厝里6-12鄰
第0487投開票所,明聖宮（山腳路1段246弄110號）,林厝里13-17鄰
第0488投開票所,青山國小（泉州巷3號）,出水里1、10-15鄰
第0489投開票所,出水里社區活動中心（出水巷18號之1）,出水里2-9鄰
第0490投開票所,湖水里社區活動中心（湖水巷10號）,湖水里
第0491投開票所,大峯里活動中心（玉鶴寺）大峯巷455號,大峯里
第0492投開票所,鎮興社區活動中心（山腳路3段2巷150號）,鎮興里1-4、17-19鄰
第0493投開票所,中州科技大學沁明樓1樓中廊（山腳路3段2巷6號）,鎮興里5-16鄰
第0494投開票所,浮圳社區活動中心（浮圳巷8之14號）,浮圳里1-10鄰
第0495投開票所,浮圳社區老人長壽俱樂部（浮圳巷,8之15號）浮圳里11-21鄰
第0496投開票所,西東社區活動中心（浮圳路1段365巷56弄36號）,西東里1、2、4-6鄰
第0497投開票所,西東社區老人長壽俱樂部（浮圳路1段365巷56弄36號）,西東里3、7-12鄰
第0498投開票所,東山國小,南東里1-9鄰
第0499投開票所,東山國小,南東里10-21鄰
第0500投開票所,中東社區活動中心(一)（山腳路5段184巷86號）,中東里1-7鄰
第0501投開票所,中東社區活動中心(二)（山腳路5段184巷86號）,中東里8-11鄰
第0502投開票所,東北社區活動中心（山腳路6段47巷20號）,東北里1-10鄰
第0503投開票所,東北社區長壽俱樂部（山腳路6段47巷22號）,東北里11-19鄰
第0504投開票所,福義宮（員水路2段464號）,東和里
第0505投開票所,員林家商（一）（中正路56號）,民生里1-3、17、20鄰
第0506投開票所,衡文宮（萬年巷51-5號）,民生里4-9、11、14、18、19鄰
第0507投開票所,員林家商（二）（中正路56號）,民生里10、12、13、15、16、21鄰
第0508投開票所,育英國小（一）（光明街31號）,黎明里1-15鄰
第0509投開票所,育英國小（二）（光明街31號）,黎明里16-23鄰
第0510投開票所,育英國小（三）（光明街31號）,惠來里1、2、24-26鄰
第0511投開票所,育英國小（四）（光明街31號）,惠來里3-8鄰
第0512投開票所,育英國小（五）（光明街31號）,惠來里9-14鄰
第0513投開票所,育英國小（六）（光明街31號）,惠來里15-19鄰
第0514投開票所,育英國小（七）（光明街31號）,惠來里20-23鄰
第0515投開票所,員林鎮立幼兒園中央分班,中央里1-5、7-9、13鄰
第0516投開票所,自然公園會議室（田中央巷11弄6號）,中央里6、10-12、14鄰
第0517投開票所,青山宮（溝皂巷15號）,溝皂里1-8、16-18、21鄰
第0518投開票所,瑤皇宮明義堂（溝皂巷3之1號）,溝皂里9-15、19、20鄰
第0519投開票所,香山寺（員集路2段244巷117號）,大饒里1、2、8、10、12、21鄰
第0520投開票所,鎮靈宮（員集路2段552巷136弄81號）,大饒里4-7、15-19鄰
第0521投開票所,張氏家廟（員集路2段244巷165號）,大饒里3、9、11、13、14、20鄰
第0522投開票所,大明里活動中心（大饒路803巷21號）,大明里1-7鄰
第0523投開票所,南區萬善祠（大饒路733號）,大明里8-14鄰
第0524投開票所,明倫國中（明倫路2號）,萬年里1-7、14鄰
第0525投開票所,南聖宮（員水路2段21巷臨51號）,萬年里8-13鄰
第0526投開票所,員林農工推廣中心（員水路2段313號）,萬年里15、16、20鄰
第0527投開票所,員林農工中正堂（員水路2段313號）,萬年里17-19、21鄰
第0528投開票所,興賢書院（三民街1號）,中正里1、2、4-24鄰
第0529投開票所,員林鎮調解委員會（林森路196號）,中正里3、25、26、28-34鄰
第0530投開票所,員林國宅（林森路231巷6號）,中正里27、35-42鄰
第0531投開票所,員林崇實高工圖書館（育英路103號）,仁美里1-4、6、8、9、13、15-17鄰
第0532投開票所,大同國中（一）,仁美里5、7、10-12、14、18、25鄰
第0533投開票所,大同國中（二）,仁美里19-24鄰
第0534投開票所,崇實高工活動中心（育英路103號）,新興里
第0535投開票所,福寧宮（中山路2段26號）,和平里1-16、19鄰
第0536投開票所,僑信國小（一）（中山路2段280號）,和平里17、18、20、21、23鄰
第0537投開票所,僑信國小（二）（中山路2段280號）,和平里22、24、25、26、27鄰
第0538投開票所,廣寧宮（中正路360號）,光明里
第0539投開票所,廣安宮（光明街269號）,中山里
第0540投開票所,員林國小（一）（三民東街221號）,三條里1-11鄰
第0541投開票所,員林國小（二）（三民東街221號）,三條里12-22鄰
第0542投開票所,員林國小（三）（三民東街221號）,忠孝里1-11鄰
第0543投開票所,員林國小（四）（三民東街221號）,忠孝里12-23鄰
第0544投開票所,員林國小（五）（三民東街221號）,仁愛里
第0545投開票所,大同國中（三）（大同路1段345號）,三和里1、5、7、9鄰
第0546投開票所,員林國小（六）（三民東街221號）,三和里2、8、15、17、19鄰
第0547投開票所,員林國小（七）（三民東街221號）,三和里3、4、6鄰
第0548投開票所,大同國中（四）（大同路1段345號）,三和里10-12鄰
第0549投開票所,大同國中（五）（大同路1段345號）,三和里13、14、16、18鄰
第0550投開票所,大同國中（六）（大同路1段345號）,三和里20-22鄰
第0551投開票所,玉天宮（浮圳路2段214號）,三橋里1-3、6-9鄰
第0552投開票所,愛丁堡幼兒園（一）（浮圳路2段189號）,三橋里4、5、12、16鄰
第0553投開票所,愛丁堡幼兒園（二）（浮圳路2段189號）,三橋里10、11、13-15鄰
第0554投開票所,樂育幼兒園（一）（建國路173號）,三愛里1、4、6、7鄰
第0555投開票所,樂育幼兒園（二）（建國路173號）,三愛里2、3、5鄰
第0556投開票所,員林蓮社（大安街13號）,三愛里8-10鄰
第0557投開票所,僑信國小（三）（中山路2段280號）,三信里1-7鄰
第0558投開票所,僑信國小（四）（中山路2段280號）,三信里8-16鄰
第0559投開票所,十七份活動中心（興華街21號）,三多里1-8鄰
第0560投開票所,保進幼兒園（育英路647號）,三多里9-17鄰
第0561投開票所,員林鎮立幼兒園（員鹿路245巷110號）,三義里1-8、16-19鄰
第0562投開票所,三義社區活動中心（員鹿路245巷112號）,三義里9-15、20-23鄰
第0563投開票所,新生社區活動中心（雙景街50號）,新生里1、2、21-28鄰
第0564投開票所,警化堂（新義街172號）,新生里3-10、29、30鄰
第0565投開票所,員林高中（一）靜修路79號,新生里11-15、32鄰
第0566投開票所,員林高中（二）靜修路79號,新生里16-20、31鄰
第0567投開票所,靜修國小（一）靜修路74號,南平里1-9鄰
第0568投開票所,靜修國小群英館（二）靜修路74號,南平里10-16鄰
第0569投開票所,南平里社區活動中心（新生路354號）,南平里17-23鄰
第0570投開票所,南平社區活動中心東側（新生路354號）,南平里24-28鄰
第0571投開票所,三聖宮（員大路1段20巷20號）,南興里1-9鄰
第0572投開票所,員林國中（一）（南潭路2號）,南興里10-13、27鄰
第0573投開票所,員林國中（二）（南潭路2號）,南興里14-20鄰
第0574投開票所,員林國中（三）（南潭路2號）,南興里21-26、28鄰
第0575投開票所,源潭社區活動中心（三潭巷27之1號）,源潭里1-5鄰
第0576投開票所,承天宮辦公室餐廳（三潭巷27號）,源潭里6-11鄰
第0577投開票所,慈天宮活動中心（員大路2段50號）,大埔里1-5鄰
第0578投開票所,員林鎮立幼兒園大埔分班（員大路2段46巷1弄10號）,大埔里6-12鄰
第0579投開票所,大村國小,大村村1-9、19、20鄰
第0580投開票所,大村社區活動中心,大村村10-18鄰
第0581投開票所,福林宮（茄苳路2段241號對面）,茄苳村1、10-18鄰
第0582投開票所,茄苳社區活動中心,茄苳村2-9鄰
第0583投開票所,田洋社區活動中心,田洋村
第0584投開票所,貢旗社區活動中心,貢旗村
第0585投開票所,南勢社區活動中心,南勢村
第0586投開票所,慈鳳宮（中山路3段2巷43-58號）,大橋村1-8、20鄰
第0587投開票所,大橋社區活動中心,大橋村9-19、21鄰
第0588投開票所,加錫社區活動中心,加錫村
第0589投開票所,普崙寺1樓北側,大崙村1-10鄰
第0590投開票所,普崙寺1樓南側,大崙村11-20鄰
第0591投開票所,新興社區活動中心,新興村
第0592投開票所,福天宮廂房（擺塘巷9號）,擺塘村1-8、11、19鄰
第0593投開票所,擺塘社區活動中心,擺塘村9、10、12-18鄰
第0594投開票所,過溝社區活動中心,過溝村1、3、6-18鄰
第0595投開票所,鎮安宮廂房（過溝3巷5號）,過溝村2、4、5、19-22鄰
第0596投開票所,村上國小學生活動中心,村上村
第0597投開票所,美港社區活動中心,美港村1-3、11、12、14鄰
第0598投開票所,賜福宮,美港村4、5、13、15-19、21、22鄰
第0599投開票所,福星祠廂房（美港橫巷10-14號）,美港村6-10、20鄰
第0600投開票所,黃厝社區活動中心,黃厝村1、13-20鄰
第0601投開票所,五行宮北廂房,黃厝村2-12鄰
第0602投開票所,村東國小(一),福興村1-7鄰
第0603投開票所,村東國小(二),福興村8-15鄰
第0604投開票所,平和社區活動中心,平和村1-6、8、18鄰
第0605投開票所,百姓公廟廂房（山腳路130號之1附近）,平和村7、9、10-17鄰
第0606投開票所,乾巽宮（浮圳路490號）,浮圳村
第0607投開票所,永興國小(一),東寧村1-7、9、11鄰
第0608投開票所,永興宮（永興路二段162號）,東寧村8、10、12-16鄰
第0609投開票所,光雲社區活動中心,光雲村1-8鄰
第0610投開票所,意善堂,光雲村9-15鄰
第0611投開票所,五汴社區老人俱樂部,五汴村1-6鄰
第0612投開票所,五汴社區活動中心,五汴村7-14鄰
第0613投開票所,永興國小(二),永興村1-11鄰
第0614投開票所,永興國小(三),永興村12-18鄰
第0615投開票所,崙子社區活動中心,崙子村
第0616投開票所,永靖國小(一),永東村
第0617投開票所,永靖國小(二),永西村1-9鄰
第0618投開票所,永靖國小(三),永西村10-15鄰
第0619投開票所,原小牛津補習班（開明路182號）,永南村1、12-15、17鄰
第0620投開票所,永南社區活動中心,永南村2-11、16鄰
第0621投開票所,不醉宮（水尾路182號）,永北村1-8、10、14鄰
第0622投開票所,甘霖宮（永福路一段8號）,永北村9、11-13、15-17鄰
第0623投開票所,港西社區活動中心,港西村1-11鄰
第0624投開票所,福德國小教室,港西村12-20鄰
第0625投開票所,五福宮（五福巷97號）,五福村1-4、16-18鄰
第0626投開票所,陳氏家廟,五福村5-15鄰
第0627投開票所,甘澍宮（永社路205號）,湳港村
第0628投開票所,新莊社區活動中心,新莊村
第0629投開票所,永靖國中(一),瑚璉村1-10鄰
第0630投開票所,永靖國中(二),瑚璉村11-18鄰
第0631投開票所,獨鰲社區活動中心,獨鰲村
第0632投開票所,恩烈祠（獨鰲路二段1號）,敦厚村
第0633投開票所,崙美社區活動中心,崙美村
第0634投開票所,同安社區活動中心,同安村
第0635投開票所,同仁社區活動中心,同仁村
第0636投開票所,湳墘社區活動中心,湳墘村
第0637投開票所,四芳社區活動中心,四芳村
第0638投開票所,福興社區活動中心,福興村
第0639投開票所,竹子社區活動中心,竹子村
第0640投開票所,媽祖廟（員鹿路信善街1號）,光平里
第0641投開票所,溪湖鎮農會推廣教室,平和里
第0642投開票所,溪湖藝文館（舊公所）,太平里1-10鄰
第0643投開票所,溪湖鎮圖書館,太平里11-16鄰
第0644投開票所,溪湖國小,光華里
第0645投開票所,湖東國小（西教室）,湖東里1-4、28-30鄰
第0646投開票所,湖東國小（東教室）,湖東里6-15、20鄰
第0647投開票所,湖東國小（中廊一）,湖東里5、19、21-26鄰
第0648投開票所,湖東國小（中廊二）,湖東里16-18、27、31-34鄰
第0649投開票所,澤民宮（大溪路一段464號）,中山里1-11鄰
第0650投開票所,霖肇宮（大溪路一段636號）,中山里12-20鄰
第0651投開票所,永安宮（員鹿路後溪巷28號）,西溪里1-9鄰
第0652投開票所,包安宮,西溪里10-18鄰
第0653投開票所,中竹社區活動中心,中竹里
第0654投開票所,溪湖國中（一）,東寮里1-3、7-12、14、22、25鄰
第0655投開票所,溪湖國中（二）,東寮里4-6、13、15-17鄰
第0656投開票所,溪湖國中（三）,東寮里18-21、23、24鄰
第0657投開票所,通天宮（員鹿路269-1號）,西寮里1-9、17、18鄰
第0658投開票所,北天宮（員鹿路鳳厝巷88號）,西寮里10-16鄰
第0659投開票所,大安宮,大突里1-8鄰
第0660投開票所,大突社區活動中心（新）,大突里9-16鄰
第0661投開票所,大突舊社區活動中心（托兒所）,大突里17-24鄰
第0662投開票所,湖西國小,北勢里
第0663投開票所,成功高中(一),汴頭里1-14鄰
第0664投開票所,成功高中(二),汴頭里15-24鄰
第0665投開票所,湖南國小（北教室）,大竹里1-12鄰
第0666投開票所,湖南國小（南教室）,大竹里13-25鄰
第0667投開票所,溪湖國小,湖西里1、14-21鄰
第0668投開票所,南天宮（二溪路湖西巷40-1號）,湖西里2-13鄰
第0669投開票所,田中社區活動中心,田中里
第0670投開票所,河東社區長壽幸福會館,河東里1-7鄰
第0671投開票所,河東社區活動中心,河東里8-14鄰
第0672投開票所,頂庄里鎭安宮,頂庄里
第0673投開票所,玄天宮（崙子腳路忠覺巷）,忠覺里
第0674投開票所,湳底社區活動中心,湳底里
第0675投開票所,大庭社區活動中心,大庭里
第0676投開票所,媽厝國小,媽厝里
第0677投開票所,番婆社區活動中心-鎮安宮,番婆里1-6、15、16鄰
第0678投開票所,番婆社區活動中心-托兒所,番婆里7-14鄰
第0679投開票所,西勢社區活動中心,西勢里1-9鄰
第0680投開票所,西安宮（西安路136號）,西勢里10-19鄰
第0681投開票所,東溪國小,東溪里
第0682投開票所,順澤宮（中正路55號）,埔鹽村1-8鄰
第0683投開票所,糯米坊,埔鹽村9-16鄰
第0684投開票所,老人文康中心,埔南村1、2、7、8、13-15鄰
第0685投開票所,埔鹽國小,埔南村3-6、9-12鄰
第0686投開票所,廍子社區活動中心,廍子村
第0687投開票所,龍水宮（埔港路39號）,出水村
第0688投開票所,南港國小,南港村1-8鄰
第0689投開票所,武聖宮,南港村9-17鄰
第0690投開票所,打廉社區活動中心,打廉村
第0691投開票所,大園國小,豐澤村
第0692投開票所,閭山道院（彰水路一段11號）,崑崙村
第0693投開票所,角樹社區活動中心,角樹村
第0694投開票所,老人文康中心,瓦磘村
第0695投開票所,好修國小（一）,好修村1-10鄰
第0696投開票所,好修國小（二）,好修村11-16鄰
第0697投開票所,西德宮（大新路2巷64號）,西湖村1-8鄰
第0698投開票所,西湖社區活動中心,西湖村9-18鄰
第0699投開票所,慈賢宮（員鹿路3段80號）,大有村
第0700投開票所,仁興宮（員鹿路2段209號）,新興村
第0701投開票所,奉安宮（番金路115之7號對面）,永平村
第0702投開票所,永樂福利園區,永樂村
第0703投開票所,石埤社區活動中心,石埤村
第0704投開票所,天盛社區活動中心,天盛村
第0705投開票所,太平社區活動中心,太平村1-9、16、17鄰
第0706投開票所,保玄宮,太平村10-15鄰
第0707投開票所,四聖宮廂房（新水村大新路臨5-18號）,新水村1-5鄰
第0708投開票所,四聖宮,新水村6-11鄰
第0709投開票所,三省社區活動中心,三省村
第0710投開票所,南新社區活動中心,南新村
第0711投開票所,武聖宮(一)(武聖路491號),東門村1-8鄰
第0712投開票所,武聖宮(二)(武聖路491號),東門村9-15鄰
第0713投開票所,武聖宮(三)(武聖路491號),東門村16-20鄰
第0714投開票所,埔心社區活動中心,埔心村
第0715投開票所,埔心國小(一),義民村1-8鄰
第0716投開票所,埔心國小(二),義民村9-15鄰
第0717投開票所,油車社區活動中心,油車村
第0718投開票所,明聖國小(一),瓦北村1-5鄰
第0719投開票所,瓦北社區活動中心,瓦北村6-13鄰
第0720投開票所,明聖宮（明聖路4段172號）,瓦中村1-6、13-15鄰
第0721投開票所,明聖國小(二),瓦中村7-12鄰
第0722投開票所,瓦南社區活動中心,瓦南村1-6、8鄰
第0723投開票所,明聖國小(三),瓦南村7、9、10鄰
第0724投開票所,鎮國宮(鎮國路71巷18號),經口村1-4、6、14-17鄰
第0725投開票所,玉龍宮(經口路77巷7號),經口村5、7-13鄰
第0726投開票所,太平國小(一),太平村1-8鄰
第0727投開票所,太平國小(二),太平村9-15鄰
第0728投開票所,大華社區活動中心,大華村
第0729投開票所,仁里社區活動中心(原仁里中心托兒所),仁里村
第0730投開票所,舊舘國小(一),舊舘村1-6鄰
第0731投開票所,舊舘國小(二),舊舘村7-12鄰
第0732投開票所,舊舘國小(三),南舘村
第0733投開票所,新舘社區活動中心,新舘村
第0734投開票所,芎蕉社區活動中心,芎蕉村1-9鄰
第0735投開票所,霖鳳宮(員鹿路5段234號),芎蕉村10-16鄰
第0736投開票所,羅厝國小(一),羅厝村1-7鄰
第0737投開票所,羅厝國小(二),羅厝村8-19鄰
第0738投開票所,梧鳳國小,梧鳳村
第0739投開票所,鳳霞國小,二重村
第0740投開票所,埤霞社區活動中心,埤霞村
第0741投開票所,五龍宮(菜寮路183號),埤脚村
第0742投開票所,香山社區活動中心,香山里
第0743投開票所,碧峰社區活動中心,碧峰里1、3-9鄰
第0744投開票所,達德商工一樓教室,碧峰里2鄰
第0745投開票所,東源社區活動中心,東源里
第0746投開票所,保安宮,復興里1-8、20鄰
第0747投開票所,東興社區活動中心,復興里9-19鄰
第0748投開票所,順天宮(北)(山腳路5段246號),平和里1-7鄰
第0749投開票所,順天宮(南)(山腳路5段246號),平和里8-20鄰
第0750投開票所,頂潭社區活動中心,頂潭里
第0751投開票所,內安國小,新庄里1-5、7-11鄰
第0752投開票所,新庄社區活動中心,新庄里6、12-16鄰
第0753投開票所,三潭國小(一),中潭里1-3、12-14鄰
第0754投開票所,三潭國小(二),中潭里4-11鄰
第0755投開票所,龍潭社區活動中心,龍潭里
第0756投開票所,萬受宮(復興路736巷60號),北路里1-6、9鄰
第0757投開票所,許仁東宅(福安路280號),北路里7-8、16-19鄰
第0758投開票所,三潭國小(三),北路里10-15、20、21鄰
第0759投開票所,第二攤販市場辦公室,西路里1-16、25鄰
第0760投開票所,田中鎮公所,西路里17-24鄰
第0761投開票所,田中國小(一),東路里
第0762投開票所,田中高中,南路里
第0763投開票所,田中國小（二）,中路里1-7、13-16鄰
第0764投開票所,田中國小(三),中路里8-12、17-20鄰
第0765投開票所,梅州社區活動中心,梅州里
第0766投開票所,大安國小(一),三安里1-8鄰
第0767投開票所,大安國小(二),三安里9-16鄰
第0768投開票所,大崙社區活動中心,大崙里
第0769投開票所,舊街社區活動中心,沙崙里1-5、7、8鄰
第0770投開票所,沙崙里社區巡守隊隊部,沙崙里6、9-12鄰
第0771投開票所,新民國小(一),新民里1、14-20鄰
第0772投開票所,新民國小(二),新民里2-8、11-13鄰
第0773投開票所,新民里巡守隊(辦公室),新民里9、10、21-27鄰
第0774投開票所,三民社區活動中心,三民里1-10鄰
第0775投開票所,參天宮,三民里11-18鄰
第0776投開票所,明禮國小,三光里
第0777投開票所,大社社區活動中心,大社里
第0778投開票所,社頭國小北側教室(一),社頭村1-6鄰
第0779投開票所,社頭國小北側教室(二),社頭村7-14鄰
第0780投開票所,社頭國小北側教室(三),社頭村15-19鄰
第0781投開票所,社頭國中(一),廣興村1-5鄰
第0782投開票所,社頭國中(二),廣興村6-11鄰
第0783投開票所,社頭國中(三),廣興村12-16鄰
第0784投開票所,社頭國中(四),廣興村17-21鄰
第0785投開票所,福竹社區活動中心(社石路979號),東興村1-4鄰
第0786投開票所,社興社區活動中心(清水岩路229號),東興村5-14鄰
第0787投開票所,舊社國小(一),松竹村
第0788投開票所,舊社國小(二),舊社村1-4鄰
第0789投開票所,舊社國小(三),舊社村5-11鄰
第0790投開票所,舊社國小(四),廣福村
第0791投開票所,橋頭國小(一),橋頭村1-6鄰
第0792投開票所,橋頭國小(二),橋頭村7-14鄰
第0793投開票所,乾坤宮1樓南側,新厝村1-6鄰
第0794投開票所,乾坤宮1樓北側,新厝村7-15鄰
第0795投開票所,張厝村集會所（大圳巷9-6號）,張厝村
第0796投開票所,湳底社區活動中心,湳底村1-6鄰
第0797投開票所,慶安寺,湳底村7-11鄰
第0798投開票所,社頭國小南側教室(四),仁雅村1-4鄰
第0799投開票所,社頭國小南側教室(五),仁雅村5-8鄰
第0800投開票所,社頭國小南側教室(六),仁雅村9-11鄰
第0801投開票所,里仁社區活動中心,里仁村
第0802投開票所,美雅社區活動中心,美雅村
第0803投開票所,崙雅社區活動中心,崙雅村
第0804投開票所,清水國小,清水村
第0805投開票所,山湖村集會所,山湖村
第0806投開票所,埤斗社區活動中心,埤斗村
第0807投開票所,仁和社區活動中心,仁和村
第0808投開票所,龍和社區活動中心,平和村
第0809投開票所,協和社區活動中心1樓,協和村1-4、14-16鄰
第0810投開票所,協和社區活動中心2樓,協和村5-13鄰
第0811投開票所,仁泰社區活動中心,泰安村
第0812投開票所,朝興國小,朝興村
第0813投開票所,湳雅國小（景盛館）,龍井村
第0814投開票所,湳雅社區活動中心,湳雅村1-6鄰
第0815投開票所,湳雅國小,湳雅村7-13鄰
第0816投開票所,復興社區活動中心,復興村
第0817投開票所,十五社區活動中心,十五村
第0818投開票所,合和社區活動中心,合和村
第0819投開票所,海豐社區活動中心,上豊村
第0820投開票所,過圳社區活動中心,過圳村
第0821投開票所,五伯社區活動中心,五伯村
第0822投開票所,文化民眾活動中心,文化村
第0823投開票所,光化社區活動中心（鐵路文物展示館）,光化村
第0824投開票所,二水國小（四年級自然科教室）,聖化村
第0825投開票所,二水國小（專業對話教室）,二水村
第0826投開票所,惠民社區活動中心,惠民村
第0827投開票所,二水國小（一年丙班教室）,裕民村
第0828投開票所,大園社區活動中心,大園村
第0829投開票所,修仁社區活動中心,修仁村
第0830投開票所,合興社區活動中心,合興村
第0831投開票所,源泉社區活動中心,源泉村
第0832投開票所,倡和社區活動中心,倡和村
第0833投開票所,北斗鎮花卉產銷第一班(中寮2路52號),中寮里1-5鄰
第0834投開票所,順天宮(中寮2路86號),中寮里6-11鄰
第0835投開票所,中寮社區活動中心(中央路30巷31號),中寮里12-15鄰
第0836投開票所,北斗國中(文苑路1段136號),大道里1-3、12、13鄰
第0837投開票所,大道社區活動中心(大道路187巷17號),大道里4-11鄰
第0838投開票所,萬來國小(一)(文賢街35號),西德里1-5鄰
第0839投開票所,萬來國小(二)(文賢街35號),西德里6-10鄰
第0840投開票所,萬來國小(三)(文賢街35號),西德里11、14、17-20鄰
第0841投開票所,西德社區活動中心(舜耕路27-4號),西德里12、13、15、16鄰
第0842投開票所,螺陽國小(一)(斗苑路2段150號),西安里1-6鄰
第0843投開票所,螺陽國小(二)(斗苑路2段150號),西安里7-10鄰
第0844投開票所,北斗鎮老人文康中心(光復路216號),光復里1-13號
第0845投開票所,北斗國小(一)(文苑路1段32號),光復里14-16鄰
第0846投開票所,北斗國小(二)(文苑路1段32號),新政里
第0847投開票所,武英殿活動中心(武英巷24號),重慶里
第0848投開票所,北斗基督長老教會(元市街9號),五權里
第0849投開票所,佳新幼兒園(一)(宮前街1之16號),七星里1-10鄰
第0850投開票所,佳新幼兒園(二)(宮前街1之16號),七星里11-14鄰
第0851投開票所,寶藍宮(地政路322號),居仁里1-5鄰
第0852投開票所,居仁社區發展協會活動中心(光仁街21號),居仁里6-14鄰
第0853投開票所,螺青國小(一),東光里1-6鄰
第0854投開票所,螺青國小(二),東光里7-14鄰
第0855投開票所,天師公壇休息所(東斗路10-4號),文昌里1-6鄰
第0856投開票所,文化幼兒園(一)(光中路122巷15號),文昌里7-11鄰
第0857投開票所,文化幼兒園(二)(光中路122巷15號),文昌里12-17鄰
第0858投開票所,新中和社區活動中心(中圳路305號),中和里
第0859投開票所,玄德紫微宮(興農路2段323巷55號),新生里1-3、11、12鄰
第0860投開票所,新生社區活動中心(興農路1段537號),新生里4-10鄰
第0861投開票所,大新國小(一)(大新路556號),大新里1-6鄰
第0862投開票所,大新國小(二)(大新路556號),大新里7-9鄰
第0863投開票所,田尾社區活動中心(光復路3段538巷1號),田尾村
第0864投開票所,溪畔社區活動中心(溪畔巷157號),溪畔村
第0865投開票所,打簾社區活動中心(民生路1段245號),打簾村1-9鄰
第0866投開票所,廣善堂(民生路1段289號),打簾村10-13鄰
第0867投開票所,正義社區活動中心(中正路1段233號),正義村
第0868投開票所,老人文康中心(福德巷359號後面),北曾村1-5、13鄰
第0869投開票所,北曾村活動中心(福德巷359號),北曾村6-12鄰
第0870投開票所,南曾村活動中心(福德巷185號),南曾村
第0871投開票所,饒平社區活動中心(東平巷143號),饒平村1-5、8、13-17鄰
第0872投開票所,饒平村天乙宮(建平路1段66號),饒平村6、7、9-12、18、19鄰
第0873投開票所,豐田社區活動中心(光復路4段114號),豐田村
第0874投開票所,仁里社區守望相助隊部(中庄巷1號),仁里村1-11鄰
第0875投開票所,仁里社區活動中心(中正路2段103巷9號),仁里村12-19鄰
第0876投開票所,新厝社區活動中心(光明巷54號),新厝村
