鄉（鎮、市）別,"投（開）票所編號",投（開）票所地點,投（開）票所地點,劃定前往投票之村里鄰別,備註
成功鎮,75,舊鎮公所,舊鎮公所,忠仁里1鄰至20鄰,
成功鎮,76,成功國小教室,成功國小教室,忠仁里21鄰至31鄰,
成功鎮,77,新港國中活動中心,新港國中活動中心,忠智里1鄰至16鄰,
成功鎮,78,忠智里活動中心,忠智里活動中心,忠智里17鄰至26鄰,
成功鎮,79,三民活動中心,三民活動中心,三民里1鄰至14鄰,
成功鎮,80,成功鎮第二市場,成功鎮第二市場,三民里15鄰至28鄰,
成功鎮,81,芝田活動中心,芝田活動中心,三仙里1鄰至6鄰及8鄰,
成功鎮,82,三仙活動中心,三仙活動中心,三仙里7鄰及9鄰至24鄰,
成功鎮,83,美山活動中心,美山活動中心,忠孝里1鄰至6鄰及16鄰至17鄰,
成功鎮,84,小港活動中心,小港活動中心,忠孝里7鄰至15鄰,
成功鎮,85,重安活動中心,重安活動中心,博愛里1鄰至8鄰,
成功鎮,86,宜灣聚會所,宜灣聚會所,博愛里9鄰至16鄰,
關山鎮,87,里壠社區活動中心,里壠社區活動中心,里壠里1鄰至20鄰,
關山鎮,88,關山工商教室,關山工商教室,里壠里21鄰至33鄰,
關山鎮,89,關山國小大禮堂,關山國小大禮堂,中福里1鄰至19鄰,
關山鎮,90,新埔社區活動中心,新埔社區活動中心,新福里1鄰至14鄰,
關山鎮,91,關山鎮老人會館,關山鎮老人會館,豐泉里1鄰至12鄰,
關山鎮,92,月眉社區活動中心,月眉社區活動中心,月眉里1鄰至7鄰,
關山鎮,93,德高社區活動中心,德高社區活動中心,德高里1鄰至17鄰,
關山鎮,94,北庄社區活動中心,北庄社區活動中心,德高里18鄰至33鄰,
關山鎮,95,電光多功能活動中心,電光多功能活動中心,電光里1鄰至17鄰,
卑南鄉,96,賓朗國小,賓朗國小,賓朗村17鄰至30鄰,
卑南鄉,97,賓朗老人暨多功能活動中心,賓朗老人暨多功能活動中心,賓朗村1鄰至16鄰,
卑南鄉,98,卑南族花環部落學校,卑南族花環部落學校,美農村1鄰至6鄰,
卑南鄉,99,美農村辦公處旁（卑南消防分隊）,美農村辦公處旁（卑南消防分隊）,美農村7鄰至17鄰,
卑南鄉,100,東成國小,東成國小,美農村18鄰至26鄰,
卑南鄉,101,初鹿活動中心,初鹿活動中心,初鹿村14鄰至32鄰,
卑南鄉,102,初鹿國小,初鹿國小,初鹿村1鄰至13鄰,
卑南鄉,103,卑南老人活動中心,卑南老人活動中心,明峰村12鄰至31鄰,
卑南鄉,104,龍過脈活動中心,龍過脈活動中心,明峰村1鄰至11鄰,
卑南鄉,105,嘉豐活動中心,嘉豐活動中心,嘉豐村4鄰至13鄰,
卑南鄉,106,山里分校,山里分校,嘉豐村1鄰至3鄰,
卑南鄉,107,太平文衡殿（右側餐廳）,太平文衡殿（右側餐廳）,太平村3鄰至10鄰及14鄰至17鄰,
卑南鄉,108,太平多功能活動中心,太平多功能活動中心,太平村1鄰至2鄰及11鄰至13鄰及18鄰,
卑南鄉,109,太平國小,太平國小,太平村19鄰至27鄰,
卑南鄉,110,泰安活動中心,泰安活動中心,泰安村1鄰至20鄰,
卑南鄉,111,利嘉活動中心,利嘉活動中心,利嘉村1鄰至17鄰,
卑南鄉,112,東興活動中心,東興活動中心,東興村1鄰至21鄰,
卑南鄉,113,溫泉活動中心,溫泉活動中心,溫泉村1鄰至28鄰,
卑南鄉,114,樂山分校,樂山分校,溫泉村29鄰至36鄰,
卑南鄉,115,富山活動中心,富山活動中心,富山村1鄰至17鄰,
卑南鄉,116,富源活動中心,富源活動中心,富源村1鄰至13鄰,
卑南鄉,117,利吉分校,利吉分校,利吉村1鄰至17鄰,
鹿野鄉,118,和平社區活動中心,和平社區活動中心,鹿野村1鄰至5鄰,
鹿野鄉,119,鹿野國小,鹿野國小,鹿野村6鄰至13鄰,
鹿野鄉,120,龍田社區活動中心,龍田社區活動中心,龍田村1鄰至15鄰,
鹿野鄉,121,永安村辦公處,永安村辦公處,永安村1鄰至9鄰,
鹿野鄉,122,永隆原住民多功能活動中心,永隆原住民多功能活動中心,永安村10鄰至15鄰,
鹿野鄉,123,瑞源社區活動中心,瑞源社區活動中心,瑞隆村1鄰至16鄰,
鹿野鄉,124,瑞源國小,瑞源國小,瑞源村1鄰至14鄰,
鹿野鄉,125,瑞和社區活動中心,瑞和社區活動中心,瑞和村1鄰至8鄰,
鹿野鄉,126,新豐社區活動中心,新豐社區活動中心,瑞豐村1鄰至8鄰,
鹿野鄉,127,瑞豐社區活動中心,瑞豐社區活動中心,瑞豐村9鄰至16鄰,
池上鄉,128,池上鄉文康中心,池上鄉文康中心,"福原村1鄰至7鄰及16鄰至19鄰",
池上鄉,129,天真托兒所,天真托兒所,福原村8鄰至15鄰,
池上鄉,130,福原國小活動中心,福原國小活動中心,"福文村1鄰至7鄰及18鄰至21鄰",
池上鄉,131,福文社區活動中心（玉清宮旁）,福文社區活動中心（玉清宮旁）,福文村8鄰至17鄰,
池上鄉,132,慶豐社區活動中心,慶豐社區活動中心,慶豐村1鄰至11鄰,
池上鄉,133,大坡社區活動中心,大坡社區活動中心,大坡村1鄰至8鄰,
池上鄉,134,大埔老人會館,大埔老人會館,大埔村1鄰至7鄰,
池上鄉,135,大埔村陸安聚會所,大埔村陸安聚會所,大埔村8鄰至9鄰,
池上鄉,136,新興社區活動中心,新興社區活動中心,新興村1鄰至10鄰,
池上鄉,137,錦園社區活動中心,錦園社區活動中心,錦園村1鄰至14鄰,
池上鄉,138,萬安社區活動中心,萬安社區活動中心,萬安村1鄰至10鄰,
池上鄉,139,富興社區活動中心,富興社區活動中心,富興村1鄰至11鄰,
池上鄉,140,振興村民眾活動中心,振興村民眾活動中心,振興村1鄰至12鄰,
東河鄉,141,陳錫銘住宅旁閒置屋,陳錫銘住宅旁閒置屋,都蘭村1鄰至11鄰,
東河鄉,142,東河鄉立圖書館,東河鄉立圖書館,都蘭村14鄰至25鄰,
東河鄉,143,都蘭社區活動中心,都蘭社區活動中心,都蘭村12鄰至13鄰及26鄰至49鄰,
東河鄉,144,興昌村辦公處,興昌村辦公處,興昌村1鄰至33鄰,
東河鄉,145,隆昌村辦公處,隆昌村辦公處,隆昌村1鄰至20鄰,
東河鄉,146,東河村辦公處,東河村辦公處,東河村1鄰至22鄰,
東河鄉,147,泰源村辦公處,泰源村辦公處,泰源村1鄰至32鄰,
東河鄉,148,北源天后宮,北源天后宮,北源村1鄰至16鄰,
東河鄉,149,北源村辦公處,北源村辦公處,北源村17鄰至27鄰及29鄰,
東河鄉,150,北源國小,北源國小,北源村28鄰及30鄰至47鄰,
東河鄉,151,尚德村辦公處,尚德村辦公處,尚德村1鄰至17鄰,
長濱鄉,152,膽曼社區發展協會活動中心,膽曼社區發展協會活動中心,寧埔村12鄰至17鄰,
長濱鄉,153,寧埔村活動中心,寧埔村活動中心,寧埔村1鄰至11鄰,
長濱鄉,154,竹湖村民眾活動中心,竹湖村民眾活動中心,竹湖村1鄰至20鄰,
長濱鄉,155,長濱鄉老人會館,長濱鄉老人會館,長濱村1鄰至18鄰,
長濱鄉,156,長光社區發展協會活動中心,長光社區發展協會活動中心,長濱村19鄰至29鄰,
長濱鄉,157,忠勇社區發展協會活動中心,忠勇社區發展協會活動中心,忠勇村1鄰至13鄰,
長濱鄉,158,三間屋活動中心,三間屋活動中心,三間村1鄰至10鄰,
長濱鄉,159,大俱來社區發展協會活動中心,大俱來社區發展協會活動中心,三間村11鄰至15鄰,
長濱鄉,160,南溪國小教室,南溪國小教室,"三間村16鄰至20鄰樟原村15鄰至16鄰",
長濱鄉,161,樟原社區發展協會活動中心,樟原社區發展協會活動中心,樟原村1鄰至14鄰,
太麻里鄉,162,美和國小（一）,美和國小（一）,美和村1鄰至7鄰,
太麻里鄉,163,美和國小（二）,美和國小（二）,美和村8鄰至13鄰,
太麻里鄉,164,三和活動中心,三和活動中心,三和村1鄰至9鄰,
太麻里鄉,165,華源活動中心,華源活動中心,華源村1鄰至17鄰,
太麻里鄉,166,北里活動中心,北里活動中心,北里村1鄰至13鄰,
太麻里鄉,167,大王國小（一）,大王國小（一）,大王村1鄰至9鄰,
太麻里鄉,168,大王國小（二）,大王國小（二）,大王村10鄰至20鄰,
太麻里鄉,169,大王活動中心,大王活動中心,泰和村1鄰至8鄰,
太麻里鄉,170,太麻里老人文康活動中心,太麻里老人文康活動中心,泰和村9鄰至18鄰,
太麻里鄉,171,香蘭國小,香蘭國小,香蘭村1鄰至7鄰,
太麻里鄉,172,新香蘭活動中心,新香蘭活動中心,香蘭村8鄰至15鄰,
太麻里鄉,173,金崙活動中心,金崙活動中心,金崙村1鄰至7鄰,
太麻里鄉,174,賓茂國小,賓茂國小,金崙村8鄰至17鄰,
太麻里鄉,175,大溪國小多良分校,大溪國小多良分校,多良村1鄰至10鄰,
太麻里鄉,176,多良活動中心,多良活動中心,多良村11鄰至21鄰,
大武鄉,177,南興社區活動中心,南興社區活動中心,南興村1鄰至13鄰,
大武鄉,178,尚武社區活動中心,尚武社區活動中心,尚武村1鄰至24鄰,
大武鄉,179,大武社區活動中心,大武社區活動中心,大武村1鄰至25鄰,
大武鄉,180,大鳥國小,大鳥國小,大鳥村1鄰至18鄰,
大武鄉,181,加津林多功能活動中心,加津林多功能活動中心,大竹村10鄰至17鄰,
大武鄉,182,大鳥國小愛國蒲分校,大鳥國小愛國蒲分校,大竹村1鄰至9鄰,
綠島鄉,183,南寮社區活動中心,南寮社區活動中心,南寮村1鄰至16鄰,
綠島鄉,184,綠島國小,綠島國小,中寮村1鄰至15鄰,
綠島鄉,185,公舘社區活動中心,公舘社區活動中心,公舘村1鄰至9鄰,
綠島鄉,186,公舘國小溫泉分校,公舘國小溫泉分校,公舘村10鄰至11鄰,
海端鄉,187,加拿文化聚會所,加拿文化聚會所,加拿村1鄰至8鄰,
海端鄉,188,崁頂村辦公處,崁頂村辦公處,崁頂村1鄰至6鄰,
海端鄉,189,海端國小,海端國小,海端村1鄰至10鄰,
海端鄉,190,廣原村辦公處,廣原村辦公處,廣原村1鄰至8鄰,
海端鄉,191,霧鹿村辦公處,霧鹿村辦公處,霧鹿村1鄰至6鄰,
海端鄉,192,利稻文化聚會所,利稻文化聚會所,利稻村1鄰至3鄰,
延平鄉,193,桃源村活動中心,桃源村活動中心,桃源村1鄰至12鄰,
延平鄉,194,紅葉村活動中心,紅葉村活動中心,紅葉村1鄰至5鄰,
延平鄉,195,永康村活動中心,永康村活動中心,永康村1鄰至5鄰,
延平鄉,196,武陵村活動中心,武陵村活動中心,武陵村1鄰至9鄰,
延平鄉,197,鸞山國小教室,鸞山國小教室,鸞山村1鄰至12鄰,
金峰鄉,198,嘉蘭國小多功能學習中心,嘉蘭國小多功能學習中心,嘉蘭村1鄰至13鄰,
金峰鄉,199,介達國小教室,介達國小教室,正興村1鄰至8鄰,
金峰鄉,200,新興國小教室,新興國小教室,新興村1鄰至5鄰,
